报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,0,0,0,
一年内到期的非流动负债(万元),85290,--,50006,--,8000,6000,4000,1250,2500,2500,2500,1250,
其他流动负债(万元),--,74862,74873,--,0,--,--,--,--,0,0,0,
流动负债合计(万元),322244,323547,330114,56386,113735,101817,70732,29442,40380,29152,26599,13644,
长期借款(万元),21220,92600,75400,--,0,18000,14000,18000,4250,4250,6250,8750,
应付债券(万元),109622,89570,--,49898,53690,53582,53474,--,--,0,0,0,
长期应付款(万元),--,23575,20000,--,--,--,--,--,--,0,0,0,
专项应付款(万元),941,--,--,--,0,2091,1998,1668,1816,1766,1703,13804,
预计非流动负债(万元),--,--,--,--,0,--,--,--,--,0,0,0,
长期递延收益(万元),5856,6404,4923,4319,4283,--,--,--,--,0,0,0,
递延所得税负债(万元),1452,--,--,--,0,--,--,--,--,0,0,0,
其他非流动负债(万元),--,--,--,--,0,981,1044,1107,1156,901,942,0,
非流动负债合计(万元),139090,212149,100323,54216,57973,74653,70515,20774,7221,6917,8895,22554,
负债合计(万元),461334,535695,430437,110602,171708,176470,141247,50216,47601,36069,35494,36198,
实收资本(或股本)(万元),66148,66148,66148,66148,50957,39206,30097,24600,12300,9200,8100,8100,
资本公积(万元),213433,213433,213430,213442,73223,84296,90964,93339,105639,8412,767,767,
减:库存股(万元),7189,--,--,--,0,--,--,--,--,0,0,0,
专项储备(万元),--,--,--,--,0,--,--,--,--,0,0,0,
盈余公积(万元),9300,9300,9147,8479,7396,6168,5115,4206,3393,2663,2161,1802,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,
未分配利润(万元),61042,57382,50941,52944,43177,30997,22257,17369,13523,11861,7271,7276,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,-122,-102,-101,-91,-81,-89,-50,
归属于母公司股东权益合计(万元),343059,346190,339660,340769,174389,160544,148332,139414,134764,32054,18210,17894,
少数股东权益(万元),58168,42183,28776,13829,12731,10457,5325,2484,2298,1708,1444,1251,
所有者权益(或股东权益)合计(万元),401227,388373,368435,354598,187121,171001,153657,141898,137062,33762,19654,19145,
负债和所有者权益(或股东权益)总计(万元),862561,924069,798873,465200,358828,347471,294903,192114,184663,69831,55147,55343,		
  
