报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
实收资本(或股本)(万元),8000,6000,6000,6000,5405,5100,5100,
资本公积(万元),72576,15906,15906,15906,3660,1525,1525,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),5966,4575,3388,2128,940,405,156,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),42784,30245,22538,14202,6588,3438,1185,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),129326,56726,47833,38236,16593,10468,7966,
少数股东权益(万元),--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),129326,56726,47833,38236,16593,10468,7966,
负债和所有者权益(或股东权益)总计(万元),189625,108874,90999,80171,50205,45555,32281,		
  
