报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
投资收益(万元),--,--,--,--,--,--,--,100,100,100,0,300,300,0,0,800,675,400,400,-535,379,-98,-188,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
营业利润(万元),25490,20766,3573,4466,-394,23506,18540,23988,-11703,-54833,-55101,11234,107237,89118,41903,159688,121742,76587,36601,115095,83340,41217,2444,
营业外收入(万元),2165,1103,47,9231,4986,3184,2,7243,5055,2292,628,1344,760,429,166,4423,4507,4444,103,3214,3156,3142,3678,
营业外支出(万元),1810,944,163,1163,1034,58,33,8426,8395,5368,3161,4804,4353,4287,3920,6445,6208,5059,3620,1469,1194,1167,897,
非流动资产处置损失(万元),--,943,--,--,--,--,--,--,--,--,0,--,--,0,3915,--,--,0,3613,--,--,0,507,
利润总额(万元),25845,20925,3457,12535,3559,26633,18508,22805,-15044,-57909,-57634,7773,103644,85260,38150,157666,120041,75972,33085,116840,85302,43192,5224,
所得税费用(万元),894,1099,970,157,-350,-554,5289,12935,1897,1773,775,-19017,15384,19280,9777,43111,38418,25151,10731,37509,25455,13196,1616,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,0,--,--,--,0,--,
净利润(万元),24951,19826,2487,12378,3909,27187,13219,9870,-16941,-59681,-58408,26790,88260,65980,28372,114555,81623,50821,22354,79331,59847,29996,3608,
归属于母公司所有者的净利润(万元),24927,19810,2494,12358,3868,27170,13193,9690,-17119,-59753,-58364,26373,87875,65346,28034,113954,80832,50272,22087,76938,58976,29400,3402,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),23,16,-7,21,40,17,26,180,178,71,-45,417,385,634,338,601,791,549,267,2393,871,596,205,
基本每股收益,0.27,0.22,0.03,0.13,0.04,0.3,0.14,0.11,-0.19,-0.65,-0.63,0.29,0.95,0.71,0.3,1.24,0.88,0.55,0.24,0.83,0.64,0.32,0.04,
稀释每股收益,0.27,0.22,0.03,0.13,0.04,0.3,0.14,0.11,-0.19,-0.65,-0.63,0.29,0.95,0.71,0.3,1.24,0.88,0.55,0.24,0.83,0.64,0.32,0.04,
