报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-2710,-1995,-621,-18750,-6529,-8695,-3500,-7419,-3536,-832,-10458,-2084,-905,-46,-855,1101,1293,342,3845,2950,2106,236,5913,3066,2085,528,5620,5152,4479,3969,3232,
营业外收入(万元),4,4,--,62,14,16,13,35,84,30,1502,941,402,78,1387,729,474,129,1109,868,594,273,1225,678,491,91,1419,1180,2294,849,949,
营业外支出(万元),23,23,22,27215,2917,165,--,2550,147,23,923,--,--,--,69,--,--,--,--,--,--,--,--,--,--,--,2,11,17,--,0,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,
利润总额(万元),-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-9879,-1143,-503,32,463,1830,1767,472,4954,3817,2699,509,7138,3744,2576,619,7037,6322,6756,4818,4181,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,1370,23,23,23,-105,126,126,78,544,484,370,79,845,418,293,63,835,715,853,615,542,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-2728,-2014,-643,-45903,-9432,-8844,-3487,-9933,-3598,-824,-11249,-1166,-527,9,568,1704,1641,394,4410,3333,2329,430,6292,3325,2284,557,6202,5607,5903,4203,3639,
归属于母公司所有者的净利润(万元),-2632,-1938,-635,-45689,-9280,-8729,-3445,-9709,-3440,-737,-10781,-891,-366,62,586,1704,1641,394,4410,3333,2329,430,6292,3325,2284,557,6202,5607,5903,4203,3639,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,-315,-87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-97,-76,-7,-214,-152,-115,-41,-224,-158,-87,-469,-275,-161,-53,-18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,-0.15,-0.11,-0.04,-2.66,-0.54,-0.51,-0.2,-0.57,-0.2,-0.04,-0.63,-0.05,-0.02,0,0.03,0.1,0.1,0.05,0.51,0.39,0.27,0.05,0.9,0.48,0.33,0.08,0.89,0.8,0.84,0.6,0.52,
稀释每股收益,-0.15,-0.11,-0.04,-2.66,-0.54,-0.51,-0.2,-0.57,-0.2,-0.04,-0.63,-0.05,-0.02,0,0.03,0.1,0.1,0.05,0.51,0.39,0.27,0.05,0.9,0.48,0.33,0.08,0.89,0.8,0.84,0.6,0.52,
