报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业外支出(万元),1404,1404,0,87331,0,0,0,10,3,3,1,181324,3745,3745,1,134916,16,15,1,625,75,53,0,14732,8,8,7,155,71,45,2,433,394,393,--,81,25,25,25,22,1,1,0,4,2,5,0,59,1,1,0,49,40,32,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,8,--,--,--,342,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
利润总额(万元),-1705,-1601,-139,-172116,-890,-818,-730,-3533,-1468,-1179,-719,-242376,-6185,-5538,-856,-295326,-114505,-2093,-1113,977,669,-2302,-1118,-23004,928,73,114,-5128,1467,1263,2364,-1673,449,281,182,535,252,341,197,597,124,162,157,4833,4591,717,308,3750,13346,13994,1170,5579,3191,2912,2396,
所得税费用(万元),--,--,--,--,--,--,--,-54,--,--,--,--,--,--,--,-1992,--,--,--,-6,-6,--,--,16,669,16,6,-324,850,756,892,543,369,265,127,432,208,231,95,155,115,50,36,1473,1370,279,190,1912,4558,4762,424,2017,1053,955,853,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
净利润(万元),-1705,-1601,-139,-172116,-890,-818,-730,-3479,-1468,-1179,-719,-242376,-6185,-5538,-856,-293334,-114505,-2093,-1113,984,675,-2302,-1118,-23021,259,57,108,-4803,617,507,1472,-2215,79,15,55,103,44,110,102,442,9,113,121,3360,3221,438,119,1838,8787,9232,747,3562,2138,1956,1543,
归属于母公司所有者的净利润(万元),-1705,-1601,-139,-172016,-789,-718,-629,-3068,-1293,-1032,-623,-241984,-5904,-5327,-740,-291355,-114188,-1865,-985,576,159,-2141,-1050,-22571,549,125,169,-4449,716,606,1585,-1858,165,129,80,264,157,194,124,498,135,131,122,3528,3512,387,130,2513,8804,9087,562,3489,2025,1865,1528,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
少数股东损益(万元),--,--,--,-100,-100,-100,-100,-411,-175,-146,-95,-392,-281,-211,-116,-1979,-316,-228,-128,407,517,-161,-68,-449,-290,-68,-62,-354,-98,-100,-112,-357,-86,-113,-25,-161,-113,-84,-22,-56,-126,-18,-1,-167,-291,51,-11,-675,-17,145,185,73,113,92,14,
基本每股收益,-0.01,-0.01,-0,-1.15,-0.01,-0,-0,-0.02,-0.01,-0.01,-0,-1.62,-0.04,-0.04,-0,-1.95,-0.77,-0.01,-0.01,0,0,-0.01,-0.01,-0.15,0,0,0,-0.03,0,0,0.01,-0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.06,0.06,0.01,0,0.05,0.16,0.16,0.01,0.06,0.04,0.03,0,
稀释每股收益,-0.01,-0.01,-0,-1.15,-0.01,-0,-0,-0.02,-0.01,-0.01,-0,-1.62,-0.04,-0.04,-0,-1.95,-0.77,-0.01,-0.01,0,0,-0.01,-0.01,-0.15,0,0,0,-0.03,0,0,0.01,-0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.06,0.06,0.01,0,0.05,0,0,0.01,0.06,0,0,0,
