报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业税金及附加(万元),6,25,18,12,6,24,--,--,--,0,0,0,--,1,0,0,0,0,0,--,--,0,0,--,--,0,0,0,0,0,0,0,0,3,2,2,9,23,20,7,8,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,3,3,--,--,--,--,9,9,7,28,33,53,46,51,
管理费用(万元),58,207,178,121,51,225,183,131,74,262,204,150,77,287,221,159,68,293,220,153,73,354,258,182,112,350,260,183,111,390,333,242,143,579,482,335,1216,1503,1167,1421,1995,
财务费用(万元),-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,-0,818,818,818,0,1636,818,818,0,1636,818,818,0,1636,818,818,-0,1786,855,855,1799,1928,1922,2022,2044,
资产减值损失(万元),--,-57,--,--,--,-34,--,--,--,-31,--,--,--,-59,--,--,--,-56,--,--,--,-70,--,--,--,149,--,--,--,-368,--,--,--,64,--,--,-1541,86,252,80,41346,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,189,--,11,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业利润(万元),-63,-144,-196,-134,-58,-214,-181,-130,-73,-285,-266,-211,-140,-229,-225,-155,-64,-1050,-1034,-973,-73,-1938,-1093,-1020,-121,-2123,-1073,-1004,-114,-1645,-1139,-1050,-135,-2338,-1274,-1143,-1716,-3383,-3086,-3368,-45285,
营业外收入(万元),15,0,31,0,--,--,--,--,--,--,5,5,--,--,--,1,1,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,0,--,--,--,1,3,0,--,
营业外支出(万元),--,--,--,--,--,--,--,--,--,42,42,42,19,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,44,54,54,--,2,--,--,1293,1,5,27,1586,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,1292,--,5,23,4,
利润总额(万元),-48,-144,-165,-134,-58,-214,-181,-130,-73,-326,-303,-248,-159,-229,-225,-154,-63,-1050,-1034,-973,-73,-1938,-1093,-1020,-121,-2123,-1072,-1004,-114,-1689,-1193,-1104,-135,-2340,-1274,-1143,-3009,-3383,-3088,-3395,-46871,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
净利润(万元),-48,-144,-165,-134,-58,-214,-181,-130,-73,-326,-303,-248,-159,-229,-225,-154,-63,-1050,-1034,-973,-73,-1938,-1093,-1020,-121,-2123,-1072,-1004,-114,-1689,-1193,-1104,-135,-2340,-1274,-1143,-3009,-3383,-3088,-3395,-46871,
归属于母公司所有者的净利润(万元),-47,-142,-165,-132,-57,-211,-179,-128,-72,-322,-300,-246,-158,-225,-221,-152,-62,-1046,-1031,-971,-72,-1932,-1088,-1016,-119,-2121,-1070,-1002,-113,-1680,-1190,-1102,-134,-2318,-1274,-1143,-3003,-3377,-3085,-3376,-46368,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,-1,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
少数股东损益(万元),-1,-2,-0,-2,-1,-3,-2,-1,--,--,-3,-2,-1,-4,-3,-2,-1,-4,-2,-2,-1,-6,-5,-4,-2,-3,-2,-2,-1,-9,-3,-2,-1,-22,--,--,-6,-6,-3,-19,-503,
基本每股收益,--,-0.01,-0.01,-0.01,--,-0.01,-0.01,--,--,-0.01,-0.01,-0.01,--,-0.01,-0.01,-0.01,--,-0.04,-0.04,-0.04,--,-0.07,-0.04,-0.04,--,-0.08,-0.04,-0.04,--,-0.06,-0.05,-0.04,-0.01,-0.09,-0.05,-0.04,-0.11,-0.13,-0.12,-0.13,-1.78,
稀释每股收益,--,-0.01,-0.01,-0.01,--,-0.01,-0.01,--,--,-0.01,-0.01,-0.01,--,-0.01,-0.01,-0.01,--,-0.04,-0.04,-0.04,--,-0.07,-0.04,-0.04,--,-0.08,-0.04,-0.04,--,-0.06,-0.05,-0.04,-0.01,-0.09,--,-0.04,-0.11,-0.13,-0.12,-0.13,-1.78,
