报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
销售费用(万元),17471,11793,5808,29776,20929,13985,5875,32434,21630,13525,4610,20756,14188,9638,4146,19275,14277,10515,4817,14242,10596,7518,7936,
管理费用(万元),23951,15195,7252,31300,20125,13391,6091,29334,21209,13872,6135,26028,18607,12361,5935,23055,17445,9186,3533,22811,16920,11773,3601,
财务费用(万元),11789,6652,2261,13664,11377,6381,2481,12823,9174,4561,907,22170,14414,9265,5898,14420,10592,5148,3130,10738,7434,5351,2500,
资产减值损失(万元),2699,2702,1815,2000,32,28,--,1565,20,20,0,664,382,529,--,909,-611,-528,-669,2905,-5457,-3942,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
投资收益(万元),136,205,83,269,188,145,103,107,114,66,24,16,-150,-170,-160,-449,-275,-78,0,-969,-513,-521,-75,
对联营企业和合营企业的投资收益(万元),--,205,--,266,--,--,--,107,--,0,0,156,--,0,--,-300,--,0,0,--,--,0,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
营业利润(万元),-9709,-1581,-2099,17004,19072,16463,5815,3082,8867,4751,958,11786,13427,7459,1917,13599,11866,6116,2302,1247,2658,1931,3944,
营业外收入(万元),398,358,195,1236,899,202,56,1679,539,413,364,7462,2304,1772,824,5144,88,83,10,2212,74,303,2,
营业外支出(万元),649,524,47,899,424,211,1,658,343,239,60,1323,786,287,146,2090,715,592,433,560,481,346,172,
非流动资产处置损失(万元),--,391,--,--,--,--,--,--,--,0,0,257,--,0,--,1491,--,0,0,256,--,0,--,
利润总额(万元),-9960,-1747,-1950,17341,19547,16454,5870,4103,9062,4925,1262,17924,14946,8943,2595,16654,11239,5607,1879,2899,2251,1888,3774,
所得税费用(万元),957,947,162,2577,3369,2952,70,1084,506,-122,12,3080,-704,-283,543,-427,7,352,-31,420,170,52,25,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
净利润(万元),-10917,-2694,-2112,14764,16178,13503,5801,3019,8556,5047,1251,14844,15650,9226,2051,17081,11232,5255,1909,2479,2081,1836,3749,
归属于母公司所有者的净利润(万元),-10161,-2147,-1752,15549,16381,13837,5894,2817,8760,5390,1413,14079,15513,9317,2043,16798,11269,5238,2159,2354,1928,1785,2739,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,
少数股东损益(万元),-756,-547,-361,-785,-203,-334,-94,202,-204,-343,-162,765,136,-90,8,283,-37,16,-249,125,153,50,1010,
基本每股收益,-0.2,-0.04,-0.03,0.3,0.31,0.27,0.11,0.05,0.17,0.1,0.04,0.35,0.39,0.23,0.05,0.42,0.28,0.13,0.05,0.06,0.05,0.05,--,
稀释每股收益,-0.2,-0.04,-0.03,0.3,0.31,0.27,0.11,0.05,0.17,0.1,0.04,0.35,0.39,0.23,0.05,0.42,0.28,0.13,0.05,0.06,0.05,0.05,--,
