报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业税金及附加(万元),384,936,741,516,277,1022,771,602,356,907,654,398,263,709,471,297,184,471,356,291,128,487,393,264,100,360,256,186,108,
销售费用(万元),4861,14739,9767,6187,3068,10848,7751,4913,2205,9199,6747,4279,2105,7515,5568,3727,1859,6263,4152,2779,1402,7975,4730,3313,1821,9635,4640,3085,1655,
管理费用(万元),3914,13733,10087,6222,3252,11328,8061,5467,2751,10473,7011,4407,2365,9932,7148,4784,2386,8748,6500,4198,1923,7930,5156,3157,1812,5465,3831,2424,1378,
财务费用(万元),2903,12082,8245,5433,2193,11337,7393,5132,2638,7819,4528,2883,1699,5573,3389,2171,832,9172,5764,3979,2082,8042,3222,2106,1100,3469,2193,1614,736,
资产减值损失(万元),150,1692,545,545,--,787,587,531,--,1631,906,920,--,1616,288,238,--,1709,759,759,--,2429,313,313,0,-132,-400,-270,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
投资收益(万元),--,--,--,--,--,--,--,--,--,3,2,2,--,--,--,--,--,--,--,--,--,--,--,--,0,23,--,--,-25,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
营业利润(万元),1773,1514,2270,1357,1222,3429,4288,3370,1338,2950,3800,3320,1993,800,1522,832,385,-10620,474,926,613,-7685,1490,1760,687,2143,5598,3278,1150,
营业外收入(万元),5,3137,542,451,181,1884,528,154,4,2246,603,267,11,1118,318,274,24,1350,50,16,8,3472,21,16,10,1409,68,44,18,
营业外支出(万元),23,31,18,17,4,60,43,11,11,189,131,100,91,40,39,29,16,67,26,44,9,30,25,17,17,-121,7,6,0,
非流动资产处置损失(万元),--,8,--,4,--,32,--,--,--,38,--,--,--,14,--,--,--,6,--,--,5,--,--,--,0,0,--,--,0,
利润总额(万元),1755,4620,2794,1791,1400,5252,4773,3512,1332,5008,4271,3487,1913,1878,1800,1077,392,-9337,498,897,611,-4243,1485,1759,681,3673,5659,3316,1167,
所得税费用(万元),319,1049,655,450,237,1124,469,424,47,1384,378,280,120,393,280,187,99,-1026,241,281,175,264,734,641,275,1495,1974,1180,394,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
净利润(万元),1435,3571,2138,1341,1163,4128,4304,3088,1285,3623,3893,3207,1794,1485,1520,890,293,-8311,257,616,436,-4506,751,1117,406,2178,3685,2136,773,
归属于母公司所有者的净利润(万元),1432,4193,2457,1590,1108,4007,3988,2813,1197,3173,3465,2884,1673,1049,1232,725,203,-8396,136,442,311,-4064,665,1080,437,2235,3672,2102,770,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),4,-621,-318,-249,56,121,316,275,88,450,429,324,120,436,288,166,90,85,121,175,125,-443,86,37,-31,-57,13,34,3,
基本每股收益,0.03,0.1,0.06,0.04,0.03,0.1,0.1,0.07,0.03,0.08,0.08,0.07,0.04,0.03,0.03,0.02,0,-0.2,0,0.01,0.01,-0.1,0.02,0.03,0.01,0.05,0.09,0.05,0.02,
稀释每股收益,0.03,0.1,0.06,0.04,0.03,0.1,0.1,0.07,0.03,0.08,0.08,0.07,0.04,0.03,0.03,0.02,0,-0.2,0,0.01,0.01,-0.1,0.02,0.03,0.01,0.05,0.09,0.05,0.02,
