报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
非流动资产处置损失(万元),209,3,216,77,25,1,885,15,8,2,631,14,18,2,1432,87,167,2,1116,572,610,1,
利润总额(万元),92711,65751,99693,80636,51905,29229,64097,53163,36098,22498,56172,44399,34943,23042,61432,40875,32837,21118,46509,29989,22130,17183,
所得税费用(万元),21529,15573,21212,18618,11792,6969,13408,12013,9032,5097,12969,13021,9555,6163,15092,10744,8983,6209,12347,8908,6702,4620,
未确认投资损失(万元),--,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,
净利润(万元),71182,50178,78481,62018,40114,22260,50689,41151,27067,17401,43203,31378,25388,16880,46340,30131,23854,14909,34162,21081,15428,12562,
归属于母公司所有者的净利润(万元),61202,44550,61485,49850,31827,16846,40432,32281,20891,13702,35653,24853,20529,13199,35482,23029,17756,11318,27534,16593,12502,10207,
被合并方在合并前实现净利润(万元),--,--,835,835,835,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),9980,5628,16996,12168,8287,5414,10257,8870,6176,3699,7550,6525,4859,3680,10858,7102,6098,3591,6628,4488,2926,2355,
基本每股收益,0.56,0.4,0.56,0.45,0.29,0.15,0.37,0.29,0.19,0.12,0.32,0.23,0.19,0.12,0.32,0.21,0.16,0.1,0.25,0.15,0.11,0.09,
稀释每股收益,0.56,0.4,0.56,0.45,0.29,0.15,0.37,0.29,0.19,0.12,0.32,0.23,0.19,0.12,0.32,0.21,0.16,0.1,0.25,0.15,0.11,0.09,
