报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
营业税金及附加(万元),14664,30777,18233,8607,4730,8716,4232,2802,1365,6226,4335,2897,1484,8376,4682,3145,1482,8834,7002,4892,3254,5037,3406,2124,1025,4697,3234,2189,1021,4488,3075,2133,992,5331,3858,2655,965,
销售费用(万元),1539,3607,3012,1915,1051,4405,2977,2046,1016,4158,2957,2431,1447,4519,3008,1791,961,2765,2127,1294,530,1929,1453,1107,568,1857,1322,852,422,2580,1660,1150,878,5239,4762,2814,738,
管理费用(万元),6778,30060,19581,12460,4894,22184,13807,8841,4549,20427,13773,8068,4330,20080,12880,7708,3680,20061,12581,7723,3643,15588,10325,6345,3582,15706,10480,6849,3123,15896,9542,6334,3365,11136,7945,4172,1598,
财务费用(万元),2153,1631,3030,-609,-934,9117,4880,2562,1293,7145,4790,1673,1643,2359,1406,595,1122,3002,2413,1278,451,5421,5554,4234,2389,6903,7641,4188,1154,3677,3493,2058,1062,3978,3008,1849,1191,
资产减值损失(万元),30,2675,184,96,3,65,142,141,3,36,70,76,4,-28,112,111,5,358,38,54,2,-13,128,148,-2,-110,-9,-19,0,-60,-1,2,0,85,161,161,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0,--,-9,-10,-4,291,291,291,53,-677,-575,-441,-348,387,--,--,0,--,--,--,--,
投资收益(万元),10232,59053,31231,31352,-729,20235,18179,19085,7069,24824,11394,8422,4137,12994,7414,6695,1954,34933,8528,7414,805,16755,16213,12683,4359,18398,16654,13918,1668,40312,16999,8408,5995,8036,3281,2894,1388,
对联营企业和合营企业的投资收益(万元),--,164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
营业利润(万元),47023,158590,113894,77477,24569,92369,55948,43434,19866,78374,53872,39325,19304,65471,49035,34992,13964,90179,55593,37072,12839,60797,47230,30960,11784,58357,43164,32871,10267,79015,47042,27726,14183,53269,39584,29770,10472,
营业外收入(万元),295,21103,21930,7390,235,8424,911,453,343,2198,596,139,43,1457,350,206,168,903,633,551,63,1092,748,713,36,1071,803,771,48,915,872,708,164,1823,1716,1712,2681,
营业外支出(万元),11,1031,186,9,0,381,6,4,1,238,25,3,--,201,11,6,2,781,225,201,0,73,1,1,1,146,34,34,11,184,1,1,0,206,32,21,2,
非流动资产处置损失(万元),0,809,--,--,--,377,--,--,--,21,--,3,--,10,--,--,--,578,--,--,--,64,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
利润总额(万元),47307,178662,135638,84858,24804,100413,56853,43884,20208,80334,54444,39461,19347,66727,49373,35192,14130,90302,56001,37422,12902,61816,47976,31672,11819,59282,43933,33608,10305,79746,47914,28434,14347,54886,41268,31462,13151,
所得税费用(万元),12262,47052,36003,21736,7033,27333,15209,11870,4925,19249,12888,9007,4901,15984,11105,7601,3898,21773,11355,7632,2837,12019,8825,5582,2235,10284,7082,6334,1321,12769,6379,4082,1776,8606,5834,4125,1423,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,
净利润(万元),35045,131611,99634,63122,17771,73080,41644,32014,15283,61085,41556,30454,14446,50743,38269,27591,10232,68530,44646,29789,10065,49797,39151,26090,9585,48998,36851,27274,8984,66977,41535,24351,12571,46280,35434,27337,11728,
归属于母公司所有者的净利润(万元),26699,117717,96419,60745,16446,68432,38057,29544,14016,54793,36787,27475,12142,45648,34057,24650,9011,63543,41069,28184,8982,45498,36192,24049,8539,44614,33889,24657,7725,63699,38386,22170,10889,42365,31986,24202,10473,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),8346,13894,3215,2376,1325,4648,3587,2470,1266,6292,4769,2979,2304,5095,4212,2941,1221,4987,3577,1606,1083,4299,2959,2041,1045,4384,2962,2617,1259,3278,3149,2181,1037,3915,3448,3135,1256,
基本每股收益,0.08,0.37,0.3,0.19,0.05,0.22,0.12,0.09,0.04,0.17,0.12,0.09,0.04,0.14,0.11,0.08,0.03,0.2,0.13,0.09,0.03,0.14,0.11,0.08,0.03,0.14,0.11,0.12,0.04,0.33,0.2,0.12,0.06,0.22,0.17,0.13,0.11,
稀释每股收益,0.08,0.37,0.3,0.19,0.05,0.22,0.12,0.09,0.04,0.17,0.12,0.09,0.04,0.14,0.11,0.08,0.03,0.2,0.13,0.09,0.03,0.14,0.11,0.08,0.03,0.14,0.11,0.12,0.04,0.33,0.2,0.12,0.06,0.22,--,0.13,0.11,
