报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,44716,--,0,0,
营业税金及附加(万元),7473,54674,28341,22554,11779,62783,34871,24307,14953,46902,27402,18551,6205,29815,16330,10582,3629,17906,8684,5857,1731,10939,6147,3111,1313,13292,9259,9260,
销售费用(万元),50465,202540,123993,75616,26294,201808,135644,89652,30172,172267,110919,83056,31807,146834,83183,55709,26237,110947,58097,33927,11013,57760,35019,21598,8091,59865,43729,30988,
管理费用(万元),185616,844264,520634,331452,147984,764480,451768,276981,133703,667322,423043,264927,121138,584718,376722,241534,107477,461842,271961,159455,74756,326646,200347,126060,60402,277534,245750,209691,
财务费用(万元),-1442,132052,91399,49788,18113,112676,59087,42904,19535,105844,76650,47462,20909,122534,82170,41383,12728,38418,20652,11068,4001,36388,30591,22391,11129,59530,35428,32817,
资产减值损失(万元),4790,132815,34097,23689,3536,113902,31690,24144,1378,23463,7908,4211,-512,25226,5995,4352,340,8454,4468,1995,-139,451,-3309,-884,21,6091,8771,7884,
公允价值变动收益(万元),82,-33,-57,-95,-92,-607,-359,-305,69,151,-297,-72,109,3081,217,4953,4055,-4113,231,-3407,0,0,0,--,0,--,0,0,
投资收益(万元),6395,40655,28473,16135,5304,25144,19318,8348,4535,23799,16997,11111,5107,23923,26380,16955,11108,13727,6312,2813,4830,48955,19379,13019,5075,16490,7756,2915,
对联营企业和合营企业的投资收益(万元),5796,38436,27353,14120,5039,29066,16069,7558,4155,23863,17633,10271,4876,24475,23320,18210,13014,27165,17318,12468,4827,25256,7351,--,2004,--,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
营业利润(万元),129905,640901,482532,284503,104143,482614,288442,189793,84702,362031,275491,196073,77518,318317,252315,187040,70886,196179,156765,81523,28509,123850,94431,45264,21550,120523,92767,35673,
营业外收入(万元),5453,41588,27025,17706,7844,45291,22107,11447,5451,64239,21193,15424,6751,57748,20250,11690,5858,46782,12080,7120,4153,42472,15202,8348,4102,26618,26392,9039,
营业外支出(万元),1261,21368,13257,13079,801,17992,4837,2908,1350,12547,4643,3269,1722,14683,2618,1819,454,9686,4227,2871,647,5451,3813,1422,493,4149,8503,7947,
非流动资产处置损失(万元),205,951,516,296,70,2250,1104,506,160,2206,889,577,122,1840,687,458,65,3867,1252,513,159,2408,979,--,261,1507570,0,0,
利润总额(万元),134098,661121,496299,289131,111186,509913,305712,198333,88803,413722,292041,208228,82547,361382,269947,196911,76290,233276,164618,85772,32016,160871,105820,52190,25159,142992,110656,36764,
所得税费用(万元),30048,92125,88521,49262,21145,87313,54977,35423,12355,60154,48039,35724,14050,50883,42129,30244,12296,30309,26389,16013,4553,19520,18685,10146,4476,15534,19805,6948,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
净利润(万元),104050,568996,407778,239869,90042,422600,250735,162910,76449,353569,244002,172505,68497,310499,227818,166668,63994,202967,138230,69759,27463,141351,87135,42044,20683,127458,90851,29817,
归属于母公司所有者的净利润(万元),100753,549235,395827,232308,87624,412856,238996,156740,73629,338384,234758,165674,66420,298517,219279,160350,61374,190909,128196,63348,25858,131556,80007,38375,18638,113074,74227,13165,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,-13,0,156,0,0,
少数股东损益(万元),3297,19761,11950,7562,2418,9744,11739,6171,2819,15185,9244,6831,2077,11982,8539,6318,2620,12058,10033,6410,1605,9795,7128,3669,2045,14384,16624,16651,
基本每股收益,0.08,0.48,0.35,0.22,0.08,0.4,0.23,0.15,0.07,0.34,0.24,0.17,0.08,0.36,0.26,0.19,0.07,0.23,0.15,0.08,0.03,0.23,0.14,0.07,0,0.19,--,--,
稀释每股收益,0.08,0.48,0.35,0.22,0.08,0.4,0.23,0.15,0.07,0.33,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,--,
