报告日期,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
长期股权投资(万元),6071,6092,42618,44450,46766,46773,46887,47943,47852,47761,47995,48790,48980,50290,48836,80774,128984,46025,45166,
其他长期投资(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
投资性房地产(万元),17252,17435,17618,17801,17984,18167,18349,17153,17329,17507,17683,17761,17931,18075,18272,5054,5088,5121,18116,
固定资产原值(万元),992183,--,992523,--,935935,--,935544,--,925434,--,924296,--,835732,--,834475,--,469523,--,424937,
累计折旧(万元),231250,--,217853,--,202911,--,187255,--,171030,--,156457,--,149838,--,138811,--,138769,--,118029,
固定资产净值(万元),760933,--,774670,--,733024,--,748289,--,754405,--,767839,--,685895,--,695663,--,330754,--,306908,
固定资产减值准备(万元),531,--,535,--,562,--,565,--,1077,--,1081,--,1366,--,1508,--,1838,--,1838,
固定资产(万元),760402,767150,774135,730524,732463,741848,747724,746591,753327,757002,766758,679162,684529,691562,694155,325031,328916,336675,305070,
在建工程(万元),27728,2241,357,20643,18052,27386,872,27280,26017,25442,16502,24115,19338,17933,12286,424535,138015,133042,120974,
工程物资(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
固定资产清理(万元),--,--,--,--,0,--,0,--,0,--,--,0,0,0,0,2,0,0,0,
生产性生物资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
公益性生物资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
油气资产(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
无形资产(万元),160528,161762,163045,165101,165800,167879,162800,155659,156818,157970,159155,161527,162383,163753,164172,92140,92876,93503,113156,
开发支出(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,--,0,0,0,
商誉(万元),5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,5155,--,0,0,5155,
长期待摊费用(万元),34642,36213,38269,22288,22845,23549,22490,21150,21503,22079,22210,22463,4587,3226,3385,397,214,227,5385,
股权分置流通权(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
递延所得税资产(万元),4717,4966,4995,2272,2403,2243,2268,3032,3058,3034,3064,1431,1473,1536,1591,1402,1424,33,2062,
其他非流动资产(万元),--,--,--,49964,49464,49464,49464,49464,49464,49464,49464,54464,54464,54464,54464,4137,4167,0,0,
非流动资产合计(万元),1216562,1223742,1259854,1254155,1243533,1393056,1378635,1276464,1309971,1263151,1187707,1213124,1187769,1118962,1134509,997519,757461,623066,625132,
资产总计(万元),1468996,1505419,1472511,1422076,1388100,1519240,1511148,1426626,1426190,1379240,1286525,1395672,1296931,1248198,1251009,1110427,950476,728834,757369,
短期借款(万元),117000,128000,196000,201000,221000,224000,213000,264000,258000,361000,371000,369217,336518,252182,259783,257143,203313,75329,24065,
向中央银行借款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
吸收存款及同业存放(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
拆入资金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
交易性金融负债(万元),--,--,--,--,0,--,0,--,0,0,0,--,0,--,0,--,0,0,0,
衍生金融负债(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应付票据(万元),--,--,--,--,0,--,0,--,559,3166,3710,1730,0,--,4359,5450,3918,2827,2403,
应付账款(万元),83865,100379,97292,95011,82561,92902,88286,73096,62671,93455,83196,73567,60053,77405,77520,67781,58732,82187,80209,
预收账款(万元),94851,102077,83632,64022,56860,56212,53704,35797,34016,36285,36185,29308,26550,26941,27337,21461,25104,11276,27999,
卖出回购金融资产款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应付手续费及佣金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
应付职工薪酬(万元),20519,11534,18185,16332,16883,9207,16273,10163,10857,9941,15776,11486,10985,10967,15872,9088,9568,9797,13382,
应交税费(万元),4743,9495,16877,13039,11070,5798,10114,6451,85,2140,11301,13981,7357,9867,12284,1983,5508,7191,10047,
应付利息(万元),2370,515,2699,1683,741,3171,2473,1987,1065,498,642,614,570,3929,3096,--,0,167,2973,
应付股利(万元),2149,2298,2301,2175,15387,2175,12117,2192,13226,2262,7162,7234,7357,2724,2725,2802,29908,10327,10413,
其他应交款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应付保证金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
内部应付款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
其他应付款(万元),130901,136259,136634,147231,139941,158711,150770,188113,189566,204043,183788,224618,198939,187689,169163,71108,44584,47067,19497,
预提费用(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
预计流动负债(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应付分保账款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
保险合同准备金(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
代理买卖证券款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
代理承销证券款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
国际票证结算(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
国内票证结算(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
递延收益(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
应付短期债券(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,2000,2036,5018,10000,
其他流动负债(万元),183800,184105,147894,144458,144260,143658,146634,143048,143095,3166,5887,--,0,100000,100000,104011,103088,2353,100000,
流动负债合计(万元),640199,674663,701515,684950,688704,695833,693370,724846,713140,715957,718648,731755,648330,671703,672138,542827,485759,253539,300988,
长期借款(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,95730,51000,51000,40000,
应付债券(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
长期应付款(万元),1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,
专项应付款(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,--,0,0,0,
预计非流动负债(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,--,--,0,0,
长期递延收益(万元),--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),41512,47164,44241,39987,34159,66577,69585,42872,49187,36259,16755,41389,39057,20076,24883,4096,1477,887,2483,
其他非流动负债(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,0,0,
非流动负债合计(万元),43421,49072,46150,41896,36067,68486,71494,44781,51096,38168,18664,43297,40966,21985,26791,101735,54386,53796,44392,
负债合计(万元),683619,723735,747665,726846,724771,764319,764864,769627,764236,754125,737312,775053,689296,693688,698930,644561,540145,307335,345380,
实收资本(或股本)(万元),110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,110103,
资本公积(万元),288923,305921,299121,285874,275901,372049,385895,296204,315148,276366,217857,291778,284785,227855,242268,177434,174534,174762,172693,
减:库存股(万元),--,--,--,--,0,--,0,--,0,0,--,--,0,--,0,--,0,0,0,
专项储备(万元),--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),50536,50536,50536,48003,48003,48003,47770,44121,44121,44121,44121,41444,41444,41444,41444,49104,49104,49104,39979,
一般风险准备(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
未确定的投资损失(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
未分配利润(万元),222951,206300,161749,152647,134624,132793,114761,110259,98870,103291,89589,81466,77142,80822,67623,42892,37619,51000,53985,
拟分配现金股利(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,--,0,--,0,
归属于母公司股东权益合计(万元),672513,672859,621510,596628,568632,662948,658530,560688,568242,533881,461669,524791,513474,460225,461438,379533,371359,384968,376760,
少数股东权益(万元),112864,108824,103336,98603,94696,91973,87753,96312,93713,91234,87544,95829,94162,94285,90641,86333,38971,36531,35230,
所有者权益(或股东权益)合计(万元),785377,781684,724846,695230,663329,754921,746283,657000,661955,625116,549213,620620,607635,554510,552079,465866,410331,421500,411990,
负债和所有者权益(或股东权益)总计(万元),1468996,1505419,1472511,1422076,1388100,1519240,1511148,1426626,1426190,1379240,1286525,1395672,1296931,1248198,1251009,1110427,950476,728834,757369,		
  
