报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2010-03-31,2009-12-31,2009-06-30,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
固定资产(万元),--,14,612,831,840,849,858,867,23,885,27,27,29,26,4,6,7,9,10,11,13,14,16,17,19,19,--,18,20,21,22,--,--,--,--,
在建工程(万元),--,--,21,14,14,14,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
生产性生物资产(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
油气资产(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
无形资产(万元),2354,2375,2395,2415,2436,2456,2476,2496,848,1689,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
开发支出(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
商誉(万元),--,0,0,--,0,0,429,429,429,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
长期待摊费用(万元),--,0,--,--,--,--,--,--,2550,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
递延所得税资产(万元),38,38,171,171,171,171,47,50,50,50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他非流动资产(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
非流动资产合计(万元),3042,3066,3199,3432,3461,3491,3824,3842,3900,2624,27,27,29,26,4,6,7,9,10,11,13,14,16,17,19,-481,--,18,20,21,22,0,--,0,0,
资产总计(万元),8362,8510,8568,9892,10893,10665,10439,10962,10503,11035,7248,6625,6876,7671,4336,4832,4825,4825,4993,4984,4468,5019,5091,5224,5351,356,358,302,106,117,51,13,10,10,51,
短期借款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,700,
向中央银行借款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
吸收存款及同业存放(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
拆入资金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
交易性金融负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
衍生金融负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付账款(万元),--,--,--,--,--,--,20,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,7,
预收账款(万元),47,28,10,--,429,163,233,833,--,--,--,--,--,--,--,--,--,0,--,0,--,--,2,2,7,13,--,--,--,0,0,--,--,--,170,
卖出回购金融资产款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付手续费及佣金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付职工薪酬(万元),21,11,15,15,15,18,16,21,21,23,2,3,387,390,383,209,207,206,206,206,206,203,203,203,203,203,--,203,203,0,203,203,--,203,203,
应交税费(万元),304,323,345,423,535,626,280,207,300,1154,431,235,358,1061,255,255,255,278,211,212,212,212,112,112,110,23,--,18,7,0,7,7,--,7,6,
应付利息(万元),836,836,836,--,--,--,--,--,--,--,309,308,306,304,296,296,296,296,330,330,317,317,304,304,304,--,--,--,--,0,0,1300,--,1247,1194,
应付股利(万元),0,--,0,--,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,--,233,233,0,233,233,--,233,233,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他应付款(万元),--,2445,1892,86,594,594,760,929,1263,994,2322,2435,2373,2479,2158,2507,2450,2379,2882,2815,2253,2751,3188,3188,3102,4210,--,4154,9101,0,9091,10127,--,11132,8880,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
预计流动负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付分保账款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
保险合同准备金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
代理买卖证券款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
代理承销证券款(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
一年内到期的非流动负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他流动负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
流动负债合计(万元),3449,3643,3098,525,1806,1634,1542,2242,1817,2404,3297,3214,3657,4468,3325,3500,3441,3392,3862,3795,3220,3714,4042,4041,3959,4682,4613,4608,9543,9593,9534,11870,12822,12822,11393,
长期借款(万元),--,0,835,--,--,--,--,--,--,--,83,83,83,83,83,83,83,83,83,83,83,83,85,85,85,200,--,200,205,0,201,198,--,194,191,
应付债券(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,2089,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
递延所得税负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他非流动负债(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
非流动负债合计(万元),0,0,835,0,0,0,0,0,0,0,83,83,83,83,83,83,83,83,83,83,83,83,85,85,85,200,200,200,205,203,201,198,194,194,2280,
负债合计(万元),3449,3643,3933,525,1806,1634,1542,2242,1817,2404,3380,3297,3739,4550,3407,3583,3523,3475,3945,3878,3303,3797,4127,4126,4044,5382,--,4808,9748,9796,9735,0,--,13016,13673,
实收资本(或股本)(万元),24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,24872,--,24872,24872,0,24872,24872,--,24872,24872,
资本公积(万元),28658,28658,23595,28171,28171,28171,28600,28600,28600,28600,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,25538,--,25538,25538,0,25538,25538,--,25538,25538,
减:库存股(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
专项储备(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
盈余公积(万元),746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,746,--,746,746,0,746,746,--,746,746,
一般风险准备(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
未分配利润(万元),-49362,-49408,-44577,-44421,-44702,-44758,-45320,-45497,-45531,-45587,-47287,-47828,-48019,-48035,-50227,-49906,-49854,-49806,-50107,-50050,-49990,-49934,-50192,-50058,-49848,-55682,--,-55662,-60797,0,-60840,-63210,--,-64162,-64777,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
归属于母公司股东权益合计(万元),4913,4867,4636,9367,9087,9031,8897,8720,8686,8631,3869,3328,3137,3121,929,1249,1301,1350,1048,1106,1165,1221,964,1098,1308,-4526,-4455,-4506,-9642,-9679,-9684,-12055,-13006,-13006,-13622,
少数股东权益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
所有者权益(或股东权益)合计(万元),4913,4867,4636,9367,9087,9031,8897,8720,8686,8631,3869,3328,3137,3121,929,1249,1301,1350,1048,1106,1165,1221,964,1098,1308,-4526,-4455,-4506,-9642,-9679,-9684,-12055,-13006,-13006,-13622,
负债和所有者权益(或股东权益)总计(万元),8362,8510,8568,9892,10893,10665,10439,10962,10503,11035,7248,6625,6876,7671,4336,4832,4825,4825,4993,4984,4468,5019,5091,5224,5351,356,358,302,106,117,51,13,10,10,51,		
  
