报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2009-03-31,2008-12-31,2007-12-31,
其他非流动负债(万元),--,--,299484,291531,286023,287855,273932,278875,263671,264508,260583,254567,232722,232106,397164,166125,164177,79813,63422,76158,50273,49277,11384,8339,11077,5083,
非流动负债合计(万元),960132,1017168,1129087,1113588,1103549,658566,569449,486558,483882,484020,569323,562029,574331,571363,503953,503665,403096,296323,297979,331152,313878,379607,399976,511101,564924,505881,
负债合计(万元),8974595,9850257,10375680,10144945,9123982,8059328,8522314,7761153,7346332,7004247,7874189,7671124,7531636,7096745,8217966,7443414,7657058,5302766,5408249,4918294,4495657,4170954,3833889,3495838,3402972,3535650,
实收资本(或股本)(万元),1225978,1225978,1225978,1225978,1032006,1032006,1032006,1032006,1032006,1032006,1032006,1032006,1032006,830000,830000,830000,830000,830000,830000,830000,830000,830000,580000,580000,580000,0,
资本公积(万元),2162908,2162908,2127150,2124606,1548063,1548313,1578977,1577758,1579062,1579610,1571588,1571575,1571217,1085985,1086683,1092643,1096641,1102478,1084073,1070365,1095299,1093793,-826,-6207,23793,0,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
专项储备(万元),4996,4996,4996,4996,4996,4996,5342,5249,4093,2382,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
盈余公积(万元),66566,66566,61753,61753,61753,61753,49803,49804,49803,49804,24687,24688,24688,24688,16134,16134,15246,15246,9629,9629,9629,9629,6163,6163,6163,0,
一般风险准备(万元),9304,3804,3804,3804,3458,3458,150,150,150,150,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
未分配利润(万元),1560444,1465190,1316591,1153072,1215142,1127518,951878,871138,889516,817599,738722,669638,622653,556233,494729,435800,379212,343388,285781,221828,200937,175079,85690,90452,71969,0,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
外币报表折算差额(万元),--,--,-8,-10,-10,-10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,
归属于母公司股东权益合计(万元),4982070,4879412,4740265,4574199,3865408,3778034,3618156,3536104,3554631,3481550,3367004,3297906,3250563,2496905,2427547,2374577,2321099,2291112,2209483,2131821,2135865,2108501,671028,670408,681925,309807,
少数股东权益(万元),190787,185559,177117,174912,182760,178529,174638,164074,160144,157864,128940,140157,137395,132324,131701,132589,124267,122343,81277,59263,56635,54655,53963,50800,49959,44757,
所有者权益(或股东权益)合计(万元),5172857,5064971,4917382,4749111,4048168,3956564,3792793,3700178,3714775,3639413,3495944,3438063,3387958,2629229,2559247,2507166,2445365,2413454,2290760,2191084,2192500,2163156,724990,721208,731884,354564,
负债和所有者权益(或股东权益)总计(万元),14147452,14915228,15293062,14894056,13172150,12015892,12315107,11461331,11061107,10643660,11370134,11109187,10919593,9725973,10777213,9950580,10102424,7716220,7699009,7109378,6688157,6334110,4558879,4217046,4134857,3890214,		
  
