报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应收股利(万元),2560,2618,--,--,--,--,--,--,--,--,--,--,0,0,0,0,180,180,180,--,0,0,0,0,--,0,0,
其他应收款(万元),43171,41116,39970,41376,37634,29317,60774,55006,44737,18238,46813,69012,29872,104607,35863,25543,22185,23818,24041,40671,41168,21500,16354,11383,18476,19367,9887,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
存货(万元),665810,934426,991665,793569,848949,1162419,1236344,916978,818570,851597,1043625,496262,415682,656841,582751,355750,301480,546350,513754,627262,615148,592824,681014,383043,299072,470387,434497,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
其他流动资产(万元),190112,146338,180038,55556,56207,71720,71761,26577,27946,28653,30202,16750,12069,29221,13989,8559,10562,9408,8237,5937,648,1173,10823,6406,6926,3122,8658,
流动资产合计(万元),4560966,4979003,4061296,4458385,4506761,4279839,3998454,4906945,4830304,4570027,2801680,3229984,3097803,2772222,2113198,1962083,1809206,1621449,1378677,1670502,1820913,1530800,1246514,1109769,1115468,1084225,819115,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
可供出售金融资产(万元),24,35,29,18,23,26,28,26,32,35,31,32,32,43,31,28,1218,969,705,889,1113,0,--,0,--,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
长期股权投资(万元),103902,101952,108485,105956,102754,104996,104825,73485,84433,92599,78123,81551,41168,37539,37484,17980,20904,25068,24687,26320,25895,183917,1608,1421,25168,19443,15701,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
投资性房地产(万元),33844,35531,36267,44453,45335,46275,47471,47878,48766,50092,50540,58242,31853,32210,32744,33984,34489,34993,38634,39098,40550,37752,39022,32179,32608,33167,39819,
固定资产原值(万元),1832171,--,1813014,--,1677897,--,1533425,--,1251051,--,1109201,--,889187,0,851969,0,834261,--,792349,--,654453,--,487199,--,451797,--,440885,
累计折旧(万元),623932,--,558660,--,518768,--,459393,--,380861,--,340120,--,310550,0,280596,0,299750,--,289862,--,243158,--,164619,--,158107,--,141928,
固定资产净值(万元),1208240,--,1254354,--,1159129,--,1074032,--,870191,--,769081,--,578637,0,571372,0,534511,--,502487,--,411295,--,322581,--,293691,--,298957,
固定资产减值准备(万元),1631,--,1631,--,1804,--,2549,--,1850,--,1852,--,1969,0,1970,0,44,--,68,--,89,--,19,--,108,--,108,
固定资产(万元),1206608,1236565,1252722,1220640,1157325,1118308,1071483,883804,868340,803310,767229,656091,576667,573214,569402,539938,534467,519792,502419,451810,411206,343053,322561,300835,293583,296387,298850,
在建工程(万元),83704,82160,81008,119603,178832,203046,207358,212231,145200,111965,95222,68572,82556,59665,48663,72910,69872,49189,63757,47497,33419,18849,13770,14990,17240,7333,11103,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
无形资产(万元),178174,179376,187307,180069,181156,181646,181020,168884,168485,165230,155246,142424,120279,121190,122085,120784,120459,117188,119475,112495,103394,69162,67343,71123,56149,55967,49423,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
商誉(万元),251089,251089,251089,251089,236818,236818,236818,147353,147353,147353,147353,147353,147353,147353,147353,147353,147353,147353,147353,147589,147513,9981,9104,7697,7697,7720,1855,
长期待摊费用(万元),41187,40997,40750,38474,41115,41854,44454,40918,38268,32873,27495,26521,15414,15144,15789,23273,22842,22785,17800,16156,15884,12861,13439,9345,7762,9585,9562,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
递延所得税资产(万元),188842,92955,71007,77301,73424,82739,63103,55163,52465,121104,82484,153797,140842,123004,79014,72020,69084,51378,44853,52859,51856,44670,19260,2138,4073,6885,12946,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
非流动资产合计(万元),2087374,2020661,2028664,2037603,2016782,2015709,1956562,1629741,1553342,1524562,1403724,1334582,1156163,1109363,1052565,1028271,1020687,968714,959682,894713,830829,720245,486107,439728,444281,436488,439259,
资产总计(万元),6648340,6999664,6089960,6495989,6523542,6295548,5955016,6536687,6383646,6094589,4205404,4564566,4253966,3881585,3165763,2990354,2829893,2590163,2338359,2565215,2651742,2251045,1732620,1549497,1559748,1520713,1258374,
短期借款(万元),689055,647811,322540,613608,687964,380672,321369,289009,241316,245109,72856,55103,86053,75059,53969,33978,144148,215767,236034,212327,251771,251032,80233,40000,40000,67933,53694,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
交易性金融负债(万元),--,2736,1361,--,293,211,343,1615,1653,700,756,184,0,1683,7,0,39,918,2213,0,0,0,0,0,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
应付票据(万元),532024,542447,540224,761283,962349,645452,648674,1536359,1441229,803521,569951,988053,802849,507217,298625,210496,360894,384694,340590,421526,364943,330812,290461,253714,248167,280573,163671,
应付账款(万元),1087775,1312778,1119764,1135496,1225527,1298771,1229885,1129800,1364256,1750219,1102305,809691,847995,1075235,921601,797076,798839,705843,606812,697462,848509,642683,523347,427063,450396,459786,441090,
预收账款(万元),167715,333229,247691,164333,162472,538695,476017,119785,107334,171455,179368,94685,66413,64664,100726,102147,44472,151696,105351,75685,52371,66054,127463,65282,50198,88469,33238,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应付职工薪酬(万元),62904,62148,85941,58331,49450,48899,70772,52013,56520,56404,79191,45134,45264,41817,55915,38425,37130,38810,46861,40333,36844,34532,41249,20001,15984,17199,31360,
应交税费(万元),143573,110587,58428,5634,-65537,-85986,-115865,-24383,10116,57498,-41721,126228,124369,88189,18287,55643,89918,24421,7252,18790,3997,14589,-38215,-12367,6089,-23473,-22818,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,364,0,0,0,0,--,0,0,
应付股利(万元),29281,379,7265,14148,24060,292,292,6387,16705,1897,331,1075,20223,331,355,5555,14922,29721,22357,22532,27590,72962,59,4909,4909,22642,134,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
其他应付款(万元),46652,55724,57221,58137,61535,62703,59964,46863,28348,37572,33701,43472,35986,34735,32305,36975,32113,30452,30717,34562,31600,76535,12729,10693,9430,14050,18774,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
一年内到期的非流动负债(万元),38308,43732,43848,--,--,--,--,5719,5824,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
其他流动负债(万元),930710,874108,704628,779842,737755,647895,601786,833132,835690,763778,522074,788767,765480,625701,404153,494971,440031,263564,203352,234645,267468,220002,129311,195430,224325,134047,86106,
流动负债合计(万元),3727997,3985678,3188910,3590812,3845867,3537604,3293236,3996299,4108992,3888153,2518812,2952392,2794633,2514632,1885942,1775266,1962506,1845887,1601536,1758227,1885092,1709202,1166637,1004725,1049499,1061226,805249,
长期借款(万元),119163,138844,148361,238477,137608,136862,138136,194708,32661,38985,39381,33170,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,707,718,0,--,0,--,0,0,
专项应付款(万元),255,866,1259,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,0,
预计非流动负债(万元),2758,2412,2461,3285,1942,1983,2184,1454,1937,1901,1849,2144,1804,1121,1121,839,1181,1854,1854,780,780,--,--,--,--,0,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),3929,3215,3339,1847,1916,2724,3342,5461,3769,4286,6290,6628,5634,7440,5544,5389,6067,5525,5516,5999,6071,0,--,244,101,0,0,
其他非流动负债(万元),7769,6961,6181,5836,2644,3655,2302,857,803,804,802,531,552,568,368,424,251,201,201,1311,1278,1356,267,760,470,1298,470,
非流动负债合计(万元),133875,152299,161602,249445,144111,145224,145965,202479,39170,45977,48322,42473,7989,9130,7033,6652,7498,7580,7572,8797,8847,1356,267,1004,571,1298,470,
负债合计(万元),3861872,4137977,3350511,3840257,3989977,3682828,3439201,4198778,4148162,3934130,2567134,2994865,2802622,2523762,1892975,1781918,1970004,1853467,1609108,1767024,1893940,1710558,1166904,1005729,1050069,1062524,805719,
实收资本(或股本)(万元),338435,338435,338435,338435,338435,338435,338435,338435,338435,338435,312027,312027,312027,208018,208018,208018,189107,189107,189107,189107,189107,126071,126071,126071,126071,63036,63036,
资本公积(万元),630689,629218,635076,610334,609686,610518,611713,605384,611314,611364,209210,208671,208556,317752,312579,310788,40147,40068,30230,51406,34254,34943,32923,39439,42390,103708,97219,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,0,0,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),127824,104629,104629,104629,104629,84166,84166,84166,84166,74147,74147,74147,74147,67648,67648,67648,67648,67648,60715,60715,55037,55037,49543,49543,49543,49543,44489,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
未分配利润(万元),1172974,1246555,1138799,1091108,998881,1049861,962780,880895,790432,707912,636762,603047,509993,421604,358441,324365,283853,188772,195866,222860,219775,210569,239924,214890,186338,156855,147695,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,--,--,--,--,0,0,
外币报表折算差额(万元),-13063,-15121,-10399,-4134,-8712,-4087,2720,1678,3175,2543,1488,59,-1538,-1784,-1554,-1860,-1071,-1439,-244,-1663,-1648,-756,-478,-282,-197,-61,-56,
归属于母公司股东权益合计(万元),2256859,2303715,2206540,2140371,2042919,2078892,1999813,1910557,1827522,1734401,1233634,1197950,1103185,1013238,945133,908959,579684,484156,475675,522426,496525,425865,447984,429662,404146,373081,352382,
少数股东权益(万元),529610,557973,532909,515360,490646,533828,516002,427352,407961,426058,404636,371750,348159,344585,327655,299477,280205,252541,253576,275765,261277,114622,117732,114106,105532,85108,100274,
所有者权益(或股东权益)合计(万元),2786468,2861687,2739449,2655732,2533565,2612720,2515815,2337909,2235484,2160459,1638270,1569701,1451344,1357823,1272787,1208436,859889,736697,729251,798191,757802,540488,565716,543768,509679,458189,452656,
负债和所有者权益(或股东权益)总计(万元),6648340,6999664,6089960,6495989,6523542,6295548,5955016,6536687,6383646,6094589,4205404,4564566,4253966,3881585,3165763,2990354,2829893,2590163,2338359,2565215,2651742,2251045,1732620,1549497,1559748,1520713,1258374,		
  
