报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
资本公积(万元),82286,82286,82286,132743,132743,132743,134144,14222,3,3,3,3,3,3,3,3,3,3,3,3,3,3,336,1299,2262,10317,
减:库存股(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
专项储备(万元),7143,4651,9815,9211,9045,7289,9513,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),12599,12599,3504,3504,3504,3504,903,903,903,903,903,903,903,903,3884,3884,3884,3884,3776,3776,3776,3776,3149,3149,3149,3321,
一般风险准备(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
未分配利润(万元),160121,141681,135936,179492,177243,137028,138459,20920,19964,21460,6164,10671,19527,23706,19973,20743,20912,21515,19211,16064,17192,17927,16941,15798,14757,14795,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
外币报表折算差额(万元),--,0,--,0,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,0,0,--,--,--,0,
归属于母公司股东权益合计(万元),363064,342132,332456,375408,372993,331023,333476,51120,35944,37441,22145,26652,35508,39687,38935,39705,39874,40477,38066,34918,36046,36781,35501,35322,35243,43508,
少数股东权益(万元),147129,139557,182405,188280,184482,167763,183219,28751,11487,13637,25535,24606,23580,22097,22480,25273,26553,28070,28956,25081,27156,28937,28025,12918,22817,36155,
所有者权益(或股东权益)合计(万元),510193,481689,514861,563689,557475,498786,516695,79871,47431,51078,47679,51258,59088,61785,61415,64978,66427,68547,67022,59999,63202,65718,63526,48240,58060,79663,
负债和所有者权益(或股东权益)总计(万元),1271851,1299322,1394642,1398742,1388086,1374118,1405280,85650,196814,201989,200419,203802,203806,210310,222994,228307,229903,240418,236341,212160,191965,219036,161298,64610,63920,101179,		
  
