报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),1250,1250,2500,--,850,1700,1700,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),23956,16593,19170,14508,15245,14484,15001,11853,11348,13016,12499,26625,24941,7846,13794,55412,25065,25233,
长期借款(万元),2500,2500,2500,5000,6250,6250,7500,9950,10950,11700,12700,13200,13450,13950,14200,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),946,--,946,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,340,340,340,340,26997,48503,48503,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),80,--,--,--,--,--,--,--,--,--,--,--,--,9,9,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),3526,3446,3446,5000,6250,6250,7500,9950,10950,11700,12700,13540,13790,14299,14549,26997,48503,48503,
负债合计(万元),27481,20038,22616,19508,21495,20734,22501,21803,22298,24716,25199,40165,38731,22145,28343,82408,73568,73736,
实收资本(或股本)(万元),45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,45862,44098,44098,44098,
资本公积(万元),-27761,-27761,-27761,-27718,-28731,-30322,-30322,-30322,-30322,-30322,-30322,-52537,-52537,-38600,-38600,4101,4101,4101,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),97,97,97,13,13,13,13,--,--,--,0,346,346,346,346,7924,7924,7924,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-8833,-8768,-8485,-9362,-8999,-9205,-9423,-10535,-11053,-10913,-10639,315,-1301,-650,-332,-138521,-129647,-129636,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),9434,9430,9713,8795,8145,6347,6129,5004,4486,4627,4901,-6014,-7630,6958,7276,-82398,-73524,-73513,
少数股东权益(万元),-0,-0,-0,-0,2200,2172,2169,2075,1992,1942,3332,3182,1656,7970,8211,--,--,--,
所有者权益(或股东权益)合计(万元),9434,9430,9713,8795,10345,8519,8298,7080,6478,6569,8233,-2832,-5974,14928,15487,-82398,-73524,-73513,
负债和所有者权益(或股东权益)总计(万元),36915,29468,32329,28303,31840,29254,30799,28883,28776,31286,33432,37332,32757,37072,43830,10,43,222,		
  
