报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
长期股权投资(万元),18500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
其他长期投资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,1801456,--,1801184,--,1761130,--,1756398,--,1611016,--,1597211,--,1480393,--,1467253,--,1368069,--,1324831,
累计折旧(万元),--,851415,--,798191,--,744590,--,690037,--,639015,--,586123,--,530625,--,488357,--,446983,--,396731,
固定资产净值(万元),--,950042,--,1002992,--,1016540,--,1066361,--,972001,--,1011088,--,949768,--,978896,--,921086,--,928100,
固定资产减值准备(万元),--,--,--,--,--,0,--,0,--,2112,--,2112,--,2112,--,2112,--,2112,--,2112,
固定资产(万元),929820,950042,975417,1002992,996100,1016540,1037477,1066361,1019941,969889,990133,1008976,949293,947656,956450,976784,890668,918974,901830,925988,
在建工程(万元),122638,116600,107777,96511,112727,100198,95075,84784,134327,145528,134001,122439,172854,130568,103790,84326,149980,107022,119149,102378,
工程物资(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
无形资产(万元),14190,2543,2562,2581,2546,2564,2582,2600,479,486,494,501,--,270,271,273,275,276,278,279,
开发支出(万元),--,--,--,--,--,0,--,0,--,0,0,--,269,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3731,3467,3466,3466,3870,4054,3578,3578,10727,10727,10728,10728,4222,4222,4635,4635,6494,4014,3762,6540,
其他非流动资产(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),1088878,1074152,1090722,1107050,1116742,1124856,1140212,1158824,1166973,1128130,1136856,1144145,1128137,1084216,1066647,1067518,1048917,1031786,1026519,1036684,
资产总计(万元),1654948,1678231,1653734,1679784,1697963,1718031,1651905,1616528,1624116,1574335,1669131,1747484,2030954,1910361,2004570,1739833,1619222,1550378,1599596,1504117,
短期借款(万元),29384,45667,94571,89603,97672,123738,111769,47769,39906,19906,29910,19910,52106,64429,108002,103592,154833,200933,203468,223617,
向中央银行借款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付票据(万元),18449,30460,55074,56726,31055,28018,33754,43664,33790,50889,48356,41368,126425,113500,78476,74334,54700,48420,63835,78570,
应付账款(万元),408019,346737,209681,259855,275695,267440,186346,184542,169487,168316,207324,236374,305211,256298,254155,244107,204635,176566,194390,171695,
预收账款(万元),66310,67523,98897,85123,110767,69794,98723,76919,88012,62916,71120,79820,82927,70277,81333,78752,54363,51965,47911,47228,
卖出回购金融资产款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),21513,21448,19522,20782,19964,23779,22509,22556,21518,21103,20400,23587,27476,26619,25368,24457,25061,21476,21654,28874,
应交税费(万元),1899,-8868,-9195,17562,-13409,-24836,-18879,11923,-959,3856,79,34823,39327,68315,71761,90004,78699,76771,59782,61194,
应付利息(万元),7449,3696,267,9828,7865,4209,1626,11622,7408,4720,1331,10531,6600,3300,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3288,23627,22619,23930,3028,13825,2643,3462,3106,2852,3366,2476,2339,2178,2697,2531,6481,3382,7618,7226,
预提费用(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),59809,90309,100019,86119,172436,184036,201814,224714,193101,145751,141132,77203,29979,14979,12507,12717,33844,33844,54342,53954,
其他流动负债(万元),--,--,--,--,--,0,--,0,5484,8031,345,--,35992,20486,11936,--,14718,13101,12901,--,
流动负债合计(万元),616119,620600,591456,649528,705074,690003,640306,627170,560853,488340,523362,526092,708383,640379,646234,630494,627335,626457,665902,672357,
长期借款(万元),219616,243616,260194,230818,202153,214153,205859,196959,298238,363588,406192,424907,465310,435096,504282,483657,398903,356637,353387,279657,
应付债券(万元),200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,0,--,0,--,0,0,--,95,--,--,--,630,420,210,--,
专项应付款(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),419616,443616,460194,430818,402153,414153,405859,396959,498238,563588,606192,624907,665406,635096,704282,483657,399533,357057,353597,279657,
负债合计(万元),1035735,1064216,1051650,1080346,1107227,1104156,1046165,1024129,1059091,1051927,1129554,1150998,1373789,1275476,1350516,1114152,1026868,983515,1019499,952014,
实收资本(或股本)(万元),92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,92227,
资本公积(万元),139636,139636,139636,139636,137496,137496,137498,137498,137498,137498,138998,137498,137198,137198,137198,137198,136199,136199,136217,136217,
减:库存股(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
专项储备(万元),1140,982,811,652,1119,981,860,738,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),101823,101823,101823,101823,99030,99030,99030,99030,99774,99580,99385,99190,97553,97553,97553,97553,89829,90332,91492,86063,
一般风险准备(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
未分配利润(万元),282661,277543,265761,263267,259011,282313,273869,260676,233299,190795,206213,264772,327912,305383,324513,296479,271686,245660,252927,230631,
拟分配现金股利(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),617487,612212,600259,597606,588884,612046,603485,590170,562798,520101,536824,593688,654891,632361,651492,623458,589941,564418,572864,545138,
少数股东权益(万元),1726,1804,1826,1833,1852,1829,2255,2229,2227,2306,2753,2798,2275,2524,2562,2224,2412,2445,7233,6964,
所有者权益(或股东权益)合计(万元),619213,614016,602085,599438,590736,613875,605740,592399,565025,522407,539577,596485,657166,634885,654054,625682,592354,566863,580097,552102,
负债和所有者权益(或股东权益)总计(万元),1654948,1678231,1653734,1679784,1697963,1718031,1651905,1616528,1624116,1574335,1669131,1747484,2030954,1910361,2004570,1739833,1619222,1550378,1599596,1504117,		
  
