报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
短期借款(万元),--,--,--,20000,20000,35000,45000,45000,45000,30000,30000,30000,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,--,--,--,--,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,1397,1397,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付账款(万元),17671,17552,27600,27860,28095,29007,49835,47861,50697,53349,66656,68711,92791,93755,34030,6165,6359,7688,5809,5991,5990,7945,6846,6428,7047,8671,6269,4475,5089,11735,11500,6306,6489,8108,6988,5905,4695,6420,3599,5197,1114,1399,985,1601,1182,2226,
预收账款(万元),1816,1947,3188,469,439,525,274,359,481,564,517,449,417,501,217,303,384,465,299,342,353,397,437,253,361,404,353,834,445,417,968,781,765,853,2117,2074,738,910,751,894,858,911,883,946,763,680,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),2921,4664,3531,3296,2594,3930,1762,1665,2024,1909,1343,1724,2225,1631,1494,1984,2272,2177,1665,1926,1783,1853,1124,1433,1216,1305,1327,1125,1186,1393,1355,1553,1113,1408,955,925,824,720,445,338,679,642,340,631,740,827,
应交税费(万元),4119,4367,2949,3393,3723,2800,2729,1958,1937,1044,2378,1291,3540,1953,1573,1584,1893,1820,1324,1641,1142,1590,474,1488,1381,1267,1015,794,1176,768,1005,609,1522,361,1151,1221,1148,1633,1380,4118,4637,1963,1960,3013,1794,2102,
应付利息(万元),122,23,322,243,146,67,380,506,182,61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付股利(万元),--,--,4980,4980,302,351,351,351,351,351,2412,8395,2690,3424,3687,5705,2339,4678,4678,8044,2339,2339,5705,8720,--,2339,2339,--,--,246,2309,2309,--,0,3610,5894,--,0,--,--,--,--,--,10858,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
其他应付款(万元),6754,6939,7587,7098,8735,8330,8251,6769,6844,6880,7697,8443,16358,17359,7400,5957,5078,5473,3097,3308,2941,9438,2234,1451,1402,1430,2117,1757,1531,1562,2948,2959,2704,2547,1616,1522,845,1073,6180,8848,838,5701,5435,1862,1361,8865,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,27982,30158,8558,17474,9823,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
其他流动负债(万元),968,661,1360,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,188,188,188,188,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
流动负债合计(万元),34371,36153,51516,67339,64034,80011,108582,105866,108913,122140,141161,127570,135496,128445,48402,21698,18326,22301,16872,21250,14548,23562,16821,19774,11407,15415,13607,9173,9615,16309,20084,14518,12593,13277,16436,17541,8250,10755,12355,19394,8127,10616,9603,18910,5840,14700,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
应付债券(万元),9943,9938,9934,9929,9924,9919,9915,9910,9906,9901,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
长期应付款(万元),11250,11250,11250,--,--,--,--,--,--,--,1333,26219,17037,24641,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,120,--,760,760,760,760,277,302,1126,--,713,2301,367,367,--,0,--,0,--,--,--,--,--,--,--,0,
预计非流动负债(万元),58,58,62,62,62,62,64,64,64,64,66,66,66,66,69,69,69,69,74,74,74,74,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
长期递延收益(万元),731,678,686,694,702,710,707,715,712,720,683,691,699,707,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,
递延所得税负债(万元),11198,11198,10664,10886,10405,8874,9082,6738,7679,9783,7421,13233,9358,7259,4329,2809,3570,4238,3542,2676,3703,3866,3602,4758,3743,3459,5220,6166,9536,9306,8903,6501,12387,16175,7615,8043,5532,2876,5815,5684,12314,18989,764,764,967,2363,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,715,723,739,739,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
非流动负债合计(万元),33181,33123,32596,21572,21094,19565,19767,17427,18360,20467,9502,40208,27160,32672,5113,3601,4379,5046,3616,2750,3896,3940,4362,5518,4503,4219,5497,6468,10662,9306,9616,8802,12754,16542,7615,8043,5532,2876,5815,5684,12314,18989,764,764,967,2363,
负债合计(万元),67551,69276,84112,88910,85128,99576,128348,123293,127273,142607,150663,167779,162655,161117,53514,25299,22705,27347,20488,24000,18445,27502,21183,25291,15909,19634,19104,15641,20277,25615,29700,23320,25347,29819,24051,25584,13783,13631,18171,25078,20441,29605,10367,19674,6806,17063,
实收资本(或股本)(万元),109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,
资本公积(万元),134087,134087,134087,134087,134087,134087,134087,134087,134087,134087,133833,133833,133833,133833,147352,143064,145358,147352,145248,142650,145729,146220,144137,147817,145044,144192,149476,152315,162425,161595,160354,153279,170769,182168,156660,156660,150371,142401,151179,150786,170635,190658,169563,160330,133714,137963,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,
盈余公积(万元),59266,59266,56561,56561,56561,56561,54468,54468,54468,54468,53080,53080,53080,53080,51100,51100,51100,51100,48676,48676,48676,48676,46493,46493,46493,46493,44031,44031,44031,44031,41905,41905,41905,41905,39257,39257,39257,39257,35753,35753,36531,36531,33569,33569,33665,33601,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
未分配利润(万元),163193,155414,148469,137826,144005,137839,136720,127027,124075,118652,123914,121492,122075,115179,116249,110562,108013,103127,99088,90785,90606,87308,93330,89237,88917,84287,80488,84655,75246,70667,69645,64057,63858,57256,54664,48157,52655,46178,47024,43037,49912,41144,37753,27680,36403,30300,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),499945,492167,480914,470939,475676,464914,462326,445602,445473,446361,442896,457911,446870,433663,423952,413726,413471,410578,402012,391112,394011,391205,392960,392547,389454,383972,382995,390000,390701,385293,380903,368241,385532,390329,359581,353074,351283,336836,342956,338576,366078,377334,349885,330579,312782,310864,
少数股东权益(万元),9353,9053,9307,28848,29929,29545,29032,28645,34056,33785,34100,33149,31916,31425,31071,29315,28375,28291,6291,6274,6412,6454,4708,4788,4795,4819,4869,4800,4871,1997,1726,1694,1730,1843,1757,1720,1485,1929,2022,1901,2080,2121,1778,1930,1978,2721,
所有者权益(或股东权益)合计(万元),509298,501220,490221,499787,505605,494459,491358,474247,479529,480146,476996,491060,478786,465088,455022,443041,441846,438869,408303,397386,400423,397659,397668,397335,394249,388791,387864,394800,395572,387290,382629,369935,387262,392171,361338,354794,352769,338766,344978,340477,368158,379455,351663,332509,314760,313586,
负债和所有者权益(或股东权益)总计(万元),576850,570495,574333,588697,590733,594035,619706,597540,606802,622753,627659,658838,641441,626206,508537,468341,464550,466216,428791,421386,418868,425161,418851,422626,410158,408425,406968,410442,415850,412905,412329,393255,412609,421990,385389,380378,366551,352397,363148,365555,388599,409060,362030,352183,321567,330649,		
  
