报告日期,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),58,58,59,59,59,59,60,60,60,61,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,201072,--,198011,--,198466,--,182012,--,181469,--,181196,--,180593,--,178205,--,177600,--,172765,--,171952,--,124178,--,106457,
累计折旧(万元),--,95437,--,90390,--,85848,--,79315,--,74635,--,69856,--,65141,--,60219,--,55310,--,50346,--,45542,--,41059,--,37591,
固定资产净值(万元),--,105635,--,107621,--,112618,--,102697,--,106834,--,111340,--,115451,--,117986,--,122290,--,122420,--,126410,--,83119,--,68866,
固定资产减值准备(万元),--,50,--,50,--,50,--,50,--,50,--,50,--,50,--,50,--,50,--,50,--,50,--,4,--,4,
固定资产(万元),104044,105585,105122,107571,110145,112568,101770,102647,104809,106784,109185,111289,112063,115401,115972,117935,119847,122239,120431,122369,124262,126360,119359,83115,67417,68863,
在建工程(万元),51104,43387,38626,33060,22712,19538,8995,7167,5128,5115,4088,1779,617,419,1,0,--,33,1128,1189,909,871,1396,41079,43146,32539,
工程物资(万元),--,120,129,--,--,--,--,0,27,--,--,0,--,0,--,0,--,--,--,--,--,--,28,--,645,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8926,9007,9129,9248,9370,9392,8594,8712,8353,8460,6713,6817,6936,7063,7012,7175,7219,7387,7673,7836,7928,8110,4618,4141,4298,4464,
开发支出(万元),2331,2146,1527,1287,1127,827,639,319,145,94,121,111,111,14,14,0,--,--,--,--,--,--,--,--,--,--,
商誉(万元),2092,2092,2092,2092,2092,2092,1890,1890,1890,1890,1890,1890,1890,1890,1970,1970,1970,1890,1890,1890,1890,1890,1456,1456,--,1890,
长期待摊费用(万元),13,13,16,42,54,52,38,49,77,117,153,194,241,276,300,336,383,416,533,3,3,4,97,5,5,6,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1962,1940,1384,1384,1172,1172,1762,1748,2011,2011,2846,2846,2698,2698,2576,2576,2512,2512,1366,1366,1158,1158,985,985,877,1039,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,1505,--,--,--,--,--,--,--,
非流动资产合计(万元),173480,167298,161085,158043,150411,149482,127429,126323,126333,128614,128078,128027,127658,130862,129846,131993,133931,136477,136877,136654,138151,140393,129940,134781,121844,112802,
资产总计(万元),437031,391529,402479,408434,366839,337161,322621,347910,339908,306172,326342,327205,346288,311940,308687,305894,316070,290508,272791,265075,271760,261492,255489,267280,257070,225429,
短期借款(万元),143747,136285,99794,95369,120069,94767,104372,77872,80772,76500,64500,63500,63500,57800,64800,65400,60076,78576,83382,81632,69862,82862,86472,83772,81572,65272,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),69799,47447,81399,89248,46552,37695,43473,96041,89839,43215,49665,52392,70415,57061,49229,58829,87554,66057,31052,34318,46606,40769,44789,51955,53116,34028,
应付账款(万元),60799,57152,60198,52114,47966,47511,44527,46459,43133,43884,49766,48484,44975,41431,42229,36239,30221,35399,29231,31477,35022,31966,21273,23175,18808,16716,
预收账款(万元),1993,2191,438,799,462,961,982,675,535,664,470,402,541,1663,283,295,236,567,255,370,278,1340,209,--,--,752,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),332,449,334,506,404,325,240,291,154,1037,451,250,130,947,794,423,241,543,987,574,83,527,644,289,201,364,
应交税费(万元),-481,-1101,-1542,-1063,-1298,-2040,-1923,-2344,-1470,-2217,-1285,-2709,-1315,-2369,-1420,-1617,-925,-929,-1792,-1287,-1741,-2245,-642,-393,-1409,-1772,
应付利息(万元),844,558,1443,1155,767,356,321,90,107,13,291,30,111,6,581,829,298,--,128,180,65,49,384,85,203,--,
应付股利(万元),0,--,--,--,--,--,--,--,--,--,47,47,47,47,--,0,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),58572,48775,59885,71039,50484,58336,25753,25287,25478,44268,54665,57816,59699,49099,50473,40165,32483,3287,5188,8345,12299,13373,6061,10942,7053,11569,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),47,47,2756,2703,5396,5342,9154,9155,10518,10105,10481,10481,10486,10486,9404,10404,10441,10441,--,--,--,--,3000,3787,4570,5353,
其他流动负债(万元),1927,1907,1335,1320,968,--,60,60,60,60,346,356,346,346,--,0,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),337580,293710,306042,313191,271771,243254,226960,253586,249127,217529,229397,231050,248934,216515,216372,210966,220625,193941,148430,155608,162474,168642,162188,173612,164114,132282,
长期借款(万元),235,235,282,282,282,282,329,329,329,329,5376,5376,5376,5376,8423,10423,10423,10470,20517,20517,20517,4517,517,517,517,517,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,2811,2690,4950,5249,7287,7184,9797,9661,3390,4632,5846,7098,15254,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),198,201,204,207,210,213,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),433,436,486,489,492,495,3140,3019,5279,5578,12663,12560,15173,15037,11813,15055,16269,17568,35771,20517,20517,4517,517,517,517,517,
负债合计(万元),338013,294147,306528,313680,272263,243749,230099,256605,254405,223107,242060,243609,264107,231552,228184,226021,236894,211509,184201,176125,182991,173159,162705,174129,164631,132799,
实收资本(或股本)(万元),42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,
资本公积(万元),26535,26535,26581,26581,26581,26580,26580,26580,26580,25427,25467,25467,25467,25467,25467,25467,25467,25467,25730,25730,25730,25730,25730,25730,25730,25730,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),6072,6072,5516,5516,5516,5516,5136,5136,5136,5136,4715,4715,4715,4715,4715,4715,4715,4715,4715,4715,4715,4715,4674,4674,4674,4715,
一般风险准备(万元),--,--,--,--,10436,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),14397,12965,11785,10918,--,9328,9688,8513,6897,5700,6413,5832,4621,2948,3179,2671,2150,1947,10479,10785,10655,10343,14537,14952,14309,14407,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),89004,87572,85882,85015,84533,83424,83404,82229,80613,78263,78595,78014,76803,75130,75361,74854,74332,74129,82924,83230,83100,82788,86941,87356,86713,86852,
少数股东权益(万元),10014,9811,10069,9739,10043,9988,9118,9077,4889,4801,5687,5582,5379,5258,5141,5019,4843,4871,5666,5720,5670,5545,5843,5794,5726,5778,
所有者权益(或股东权益)合计(万元),99018,97382,95951,94754,94576,93411,92522,91306,85502,83064,84282,83595,82182,80388,80502,79873,79175,79000,88590,88950,88770,88333,92784,93151,92439,92630,
负债和所有者权益(或股东权益)总计(万元),437031,391529,402479,408434,366839,337161,322621,347910,339908,306172,326342,327205,346288,311940,308687,305894,316070,290508,272791,265075,271760,261492,255489,267280,257070,225429,		
  
