报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),626,--,659,701,693,691,691,539,569,466,500,297,316,324,343,368,395,--,--,--,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,6,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),456,1155,1240,1209,911,977,1035,905,956,--,0,3,4,8,6,7,8,--,--,--,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),5985,5985,5985,5929,5861,5861,5861,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),64,70,78,30,34,42,50,58,66,74,82,163,143,79,87,96,80,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),652,394,416,596,338,322,307,184,197,190,192,483,527,511,471,538,557,--,--,--,
其他非流动资产(万元),943,--,--,54,54,54,54,--,--,--,--,--,200,--,--,--,1,--,--,--,
非流动资产合计(万元),9280,9565,9730,9871,9243,9299,9350,3051,2753,995,1040,1210,1205,938,921,1030,1062,0,0,0,
资产总计(万元),50723,42910,43998,45106,40294,41052,43761,35992,32938,30486,31368,30514,31179,31492,32636,24387,27286,937,270,270,
短期借款(万元),4045,1769,3217,5027,4358,6328,6703,5258,3290,1572,493,4071,5201,5619,6186,6453,33810,27786,27786,27786,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,17,--,--,--,--,--,--,
应付账款(万元),5380,--,3972,--,--,3123,3994,1199,1478,1688,2786,2263,1243,730,857,1744,16499,14506,14474,14500,
预收账款(万元),2327,1725,2092,2353,2482,1669,1844,1008,914,947,284,535,379,816,586,710,916,84,84,84,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),507,526,937,462,462,461,629,481,400,354,416,386,402,233,458,345,346,--,33,33,
应交税费(万元),775,653,1219,1081,606,522,1473,718,767,312,1581,540,673,123,682,185,457,-2366,-2366,-2366,
应付利息(万元),2,7,7,--,--,7,7,--,--,--,--,--,17,--,--,--,21267,21267,21267,21267,
应付股利(万元),--,--,--,--,--,353,353,--,--,--,--,--,--,463,463,463,463,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),436,--,637,516,349,265,408,643,374,297,623,382,1701,9403,8975,1204,10654,9816,8951,8961,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,93,85,307,264,514,374,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),13472,10274,12082,13909,11546,12821,15496,9615,7487,5684,6557,8177,9617,17404,18206,11105,84412,71092,70229,70265,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1814,1814,1814,1814,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),64,69,73,114,26,28,30,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),64,69,73,114,26,28,30,0,0,0,0,0,0,0,0,0,1814,1814,1814,1814,
负债合计(万元),13537,10342,12155,14022,11572,12849,15526,9615,7487,5684,6557,8177,9617,17404,18206,11105,86226,72906,72043,72079,
实收资本(或股本)(万元),34583,33899,33899,33899,33899,33899,33899,33899,33899,33899,33899,33899,33899,28299,28299,28299,28299,28299,56599,56599,
资本公积(万元),-17586,-19266,-19266,-19266,-19266,-19266,-19266,-19266,-19266,-19266,-19266,-19260,-19261,-21498,-21498,83,--,9492,9492,9492,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,--,--,--,--,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),17322,15239,14373,13823,12075,11716,11621,10027,8983,8286,8209,5960,5200,4287,4563,-17957,-90682,-109760,-137863,-137899,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),34664,30074,29319,28776,26878,26392,26401,24858,23853,23192,23126,20821,20050,11263,11547,10460,-62387,-71969,-71773,-71809,
少数股东权益(万元),2523,2494,2524,2308,1844,1811,1834,1519,1597,1610,1686,1516,1512,2825,2884,2822,3447,--,--,--,
所有者权益(或股东权益)合计(万元),37187,32568,31843,31084,28722,28203,28235,26377,25451,24802,24811,22337,21562,14088,14430,13282,-58940,-71969,-71773,-71809,
负债和所有者权益(或股东权益)总计(万元),50723,42910,43998,45106,40294,41052,43761,35992,32938,30486,31368,30514,31179,31492,32636,24387,27286,937,270,270,		
  
