报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,8000,8000,8000,8000,14000,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付账款(万元),13483,12065,10064,11518,8309,7016,7851,11990,6007,4530,6236,6320,6156,4543,5636,7124,6032,4533,4153,6923,3776,6546,2958,4571,
预收账款(万元),1752,2388,1900,1714,2185,1096,820,1156,1020,574,536,427,164,211,288,1392,221,275,524,408,296,752,5009,2911,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付职工薪酬(万元),862,606,404,1024,933,709,863,1416,950,599,865,640,468,329,235,458,570,418,284,580,456,461,377,373,
应交税费(万元),1024,1808,1484,1845,892,269,947,3505,1817,798,1404,1890,1540,1014,1223,2135,1357,1596,918,1312,1317,993,1433,1324,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9,9,10,28,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12,--,0,0,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他应付款(万元),1809,1388,1437,1468,2602,2624,2219,1564,2103,1565,1562,821,1766,1408,1071,853,923,852,718,508,1127,424,930,11360,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
一年内到期的非流动负债(万元),1056,1056,1056,1056,--,--,1056,1056,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,10,5,0,0,--,0,0,
流动负债合计(万元),19985,19311,16344,18625,14921,11714,13756,20687,11897,8065,10603,10098,10095,7504,8453,11962,9118,9696,14602,17739,14980,17186,24735,20540,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,2000,0,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
长期应付款(万元),455,455,1511,1511,2112,2112,2112,2112,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
长期递延收益(万元),1512,1418,1556,1320,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
其他非流动负债(万元),--,--,--,--,1485,1586,1459,1319,4902,4808,4130,390,667,687,472,472,505,455,432,432,10,104,54,54,
非流动负债合计(万元),1967,1873,3067,2831,3597,3698,3571,3431,4902,4808,4130,390,667,687,472,472,505,455,432,432,10,2104,54,54,
负债合计(万元),21952,21184,19411,21457,18518,15412,17327,24118,16799,12873,14733,10488,10761,8190,8925,12434,9623,10150,15033,18171,14990,19290,24789,20594,
实收资本(或股本)(万元),53934,53934,53489,53489,53400,53400,53400,53400,53400,53400,26700,26700,26700,26700,26700,26700,26700,26700,26700,20000,20000,20000,20000,1200,
资本公积(万元),116242,116072,113094,112922,111994,111644,110944,110944,110725,110725,137425,137425,137425,137425,137425,137425,137425,137425,137425,2854,2854,2854,2854,7182,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
盈余公积(万元),8808,8808,8808,8808,7414,7414,7414,7414,5232,5232,5232,5232,3223,3223,3223,3223,1978,1978,1978,1978,1242,1242,458,528,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
未分配利润(万元),33272,27178,42276,37316,33666,30257,46953,43633,36673,31274,42640,38011,33566,27985,41744,37950,32095,27965,33451,30518,26822,17443,8609,4948,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,
归属于母公司股东权益合计(万元),212257,205992,217667,212536,206473,202715,218711,215391,206030,200632,211998,207369,200915,195333,209092,205298,198198,194068,199554,55350,50918,41539,31921,13858,
少数股东权益(万元),7362,6957,5317,5764,5712,3841,4825,4712,3488,3150,2885,--,--,--,--,--,--,--,--,0,0,--,0,0,
所有者权益(或股东权益)合计(万元),219619,212950,222985,218299,212186,206556,223536,220103,209518,203782,214883,207369,200915,195333,209092,205298,198198,194068,199554,55350,50918,41539,31921,13858,
负债和所有者权益(或股东权益)总计(万元),241572,234134,242396,239756,230704,221968,240863,244221,226316,216655,229616,217856,211676,203523,218017,217732,207821,204219,214588,73521,65908,60829,56710,34451,		
  
