报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,
其他应收款(万元),1287,--,859,3112,2820,3497,5874,321,6807,6734,6781,8840,8989,8752,8815,8940,11722,1248,1101,1526,1330,414,498,4540,2932,207,2817,3446,3494,3454,3363,3459,4324,3081,3049,2011,2012,2014,2015,5526,5543,20939,6411,5457,6145,7154,6646,7753,7319,13555,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
存货(万元),13834,13881,15159,15715,16985,19133,23465,37914,28722,27047,34174,39592,47845,59954,61924,37647,40356,52786,51571,34133,25815,18340,19057,18954,18921,1971,2049,6670,5651,4515,3970,3569,2036,1861,1774,1130,1130,1130,1130,2,2,2,38,41,24,58,185,982,2456,11384,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,33,33,33,33,33,--,--,--,--,--,--,--,--,--,--,--,--,--,900,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
其他流动资产(万元),1726,1217,3779,380,1437,2580,3456,774,937,1041,1918,2217,2843,3313,3376,750,991,2415,2413,1309,704,448,448,--,--,--,900,109,109,109,109,109,109,109,109,109,109,109,109,0,0,--,--,--,--,0,0,--,--,0,
流动资产合计(万元),28907,26745,29538,44406,34564,36154,40296,56007,52544,50819,58035,64491,73555,81487,83065,57920,62370,63041,59835,48209,42819,31319,32340,38388,33442,13830,13951,16670,11460,10430,10100,9476,8650,7216,7913,3256,3257,3261,3259,6422,6462,31650,13988,13494,14890,17423,16107,17795,18345,47645,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
可供出售金融资产(万元),--,--,1633,1667,1667,1667,1667,2278,2278,2278,2278,2500,2500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,102,102,233,233,2734,234,696,672,668,668,652,658,663,663,661,661,--,--,222,222,222,222,222,222,222,222,222,222,222,222,9722,9722,31300,9722,19722,19722,19722,19722,19722,19722,19722,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
投资性房地产(万元),--,--,--,--,418,421,424,434,477,480,483,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
固定资产原值(万元),2523,--,2374,--,2257,--,1408,--,2016,--,2080,--,1505,--,1417,--,1367,--,1392,--,1390,--,1386,--,1228,--,2792,--,9760,--,12271,--,12233,--,12233,--,8760,--,8760,0,8259,--,166087,--,166087,--,166087,--,173094,166051,
累计折旧(万元),783,--,644,--,514,--,440,--,552,--,582,--,567,--,526,--,385,--,362,--,313,--,256,--,207,--,318,--,2310,--,2726,--,2568,--,2431,--,2197,--,2096,0,1995,--,48143,--,49461,--,45384,--,42175,37421,
固定资产净值(万元),1740,--,1730,--,1743,--,967,--,1463,--,1498,--,939,--,891,--,983,--,1029,--,1077,--,1130,--,1020,--,2474,--,7450,--,9545,--,9665,--,9801,--,6563,--,6664,0,6264,--,117945,--,116626,--,120703,--,130918,128630,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2446,--,3536,--,3536,--,3536,--,3536,--,3536,0,3536,--,105535,--,--,--,0,--,0,0,
固定资产(万元),1740,--,1730,1931,1743,1763,967,1442,1463,1498,1498,999,939,939,891,1043,983,1019,1029,1056,1077,1104,1130,1130,1020,2503,2474,5121,5004,5937,6009,6045,6129,6246,6265,2936,3027,3077,3128,2678,2728,8523,12409,114650,116626,118646,120703,129109,130918,128630,
在建工程(万元),10818,--,10165,1017,954,472,227,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,66,40,685,672,672,672,672,672,672,672,1288,1288,1288,1288,1288,1288,1288,1288,49372,49372,49372,49372,49481,49481,49372,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
生产性生物资产(万元),8,10,12,13,13,18,2,3,2,3,4,9,12,10,15,1,72,133,64,42,71,105,26,39,33,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
无形资产(万元),5566,5617,5669,5518,5629,5739,5171,104,105,107,107,629,633,636,639,546,551,1182,1190,2171,2264,2279,2872,2657,2675,2724,2671,2374,2389,2405,2420,2436,2451,2467,2482,2498,2513,2529,2545,2772,2789,7096,9129,11960,12005,12052,12104,6056,6073,12386,
开发支出(万元),2163,1719,1335,939,930,669,351,232,183,121,64,175,107,39,17,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
商誉(万元),154,154,154,154,154,154,129,--,--,--,--,--,--,--,--,--,--,--,0,181,181,181,181,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
长期待摊费用(万元),24,27,27,14,12,17,22,11,13,15,16,37,43,43,20,684,742,815,859,943,986,1007,781,518,178,70,73,46,32,36,36,--,--,--,--,--,0,--,0,0,0,201,201,202,203,205,206,223,224,226,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
递延所得税资产(万元),--,--,--,78,78,78,78,78,78,78,78,78,78,78,78,83,83,83,83,83,83,83,83,152,152,152,152,--,0,--,--,--,--,--,--,201,201,201,201,13131,13131,13131,13131,--,--,0,0,31,31,31,
其他非流动资产(万元),18685,19187,12174,--,--,--,1043,--,--,--,9,520,520,520,520,520,520,520,520,--,--,--,--,--,--,--,--,2006,2513,2513,2443,2306,2443,2443,2443,7690,7690,7690,7690,0,0,--,--,--,--,0,0,--,--,0,
非流动资产合计(万元),40792,40463,32899,11331,11599,10997,10080,4582,4600,4681,4640,5181,5064,5000,2414,3574,3624,4421,4415,5128,5320,5422,5736,5158,4720,5516,5410,10454,10832,11784,11802,11681,11917,12050,12085,14835,14941,15007,15073,29590,29657,61538,45880,195905,197928,199996,202106,204622,206449,210366,
资产总计(万元),69699,67208,62437,55737,46163,47151,50376,60589,57144,55501,62676,69672,78619,86487,85479,61494,65994,67462,64250,53337,48139,36741,38076,43545,38162,19346,19362,27124,22292,22214,21902,21157,20567,19266,19998,18090,18198,18268,18333,36013,36120,93188,59868,209400,212818,217419,218212,222417,224794,258011,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,42,42,42,42,42,42,542,542,542,542,542,542,12545,25711,80594,84680,84680,84680,83725,83725,83730,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,--,0,0,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,950,1950,2250,2600,9800,9095,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付账款(万元),363,--,667,--,890,894,1549,2149,2077,902,1289,2002,2154,2601,3501,2167,1112,1793,1043,577,749,319,366,1301,581,95,205,123,123,13,23,23,23,23,23,23,23,23,23,31,31,3404,4093,2608,2648,4640,3683,2651,2472,3988,
预收账款(万元),6016,629,1627,3390,3694,4791,6417,22096,18814,17671,24392,29095,37326,45475,43599,9569,13476,32617,29095,21025,15384,3711,5382,3713,2550,374,712,7242,5482,4250,3003,2077,--,--,--,--,0,--,0,71,71,72,72,38,38,38,27,65,65,75,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付职工薪酬(万元),108,100,98,73,67,63,220,28,22,21,194,0,0,-0,1,612,612,623,623,604,636,612,621,616,633,633,633,618,618,635,671,636,636,636,640,624,624,622,622,615,615,2405,2766,12246,12155,12029,12029,436,615,1542,
应交税费(万元),32,13,92,23,29,112,1317,35,40,64,136,42,95,12,2,1141,2277,984,1002,774,934,1183,1803,431,871,919,1104,1299,6896,6932,6959,7193,7130,6865,7207,929,794,660,526,-4,-3,3050,6498,3784,3564,3549,3508,3045,2903,2880,
应付利息(万元),--,--,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,20502,27026,20718,19492,18204,16859,13929,12659,10073,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
其他应付款(万元),11463,--,11838,1899,2779,1935,2595,719,620,573,448,1196,1469,1249,1275,4659,5241,1197,1462,2526,3062,2152,3604,4992,1684,5263,5218,11526,11350,11130,11657,12871,13941,12565,12852,19357,19328,19270,19251,33016,34924,40143,5703,20945,17600,18114,18046,18286,18341,18811,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
流动负债合计(万元),17981,14427,14341,6037,7459,7795,12098,25026,21574,19232,26458,32336,41044,49337,48378,18147,22718,37215,33226,26456,22716,10228,14376,20852,15414,7284,7872,20808,24511,23001,22355,22842,21772,20131,20764,21475,21311,21118,20964,34272,36181,82121,71870,140932,140175,141252,138832,122136,120779,121100,
长期借款(万元),17221,17221,10171,9991,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,680,680,680,640,640,640,640,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,33,9545,9545,9545,9545,9545,9545,9545,9545,9545,9545,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10,--,--,--,--,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1060,1065,1965,3363,3363,3363,3363,3863,3863,3863,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,212,212,212,212,946,946,946,946,473,473,473,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,220,220,220,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
非流动负债合计(万元),17221,17221,10171,9991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1740,1740,1740,1700,1700,1700,1700,1060,1060,1060,1060,1305,10817,10822,11722,13853,13853,13853,13853,14100,14100,14100,
负债合计(万元),35202,31648,24512,16028,7459,7795,12098,25026,21574,19232,26458,32336,41044,49337,48378,18147,22718,37215,33226,26456,22716,10228,14376,20862,15414,7284,7872,20808,26251,24741,24095,24542,23472,21831,22463,22535,22371,22177,22024,35577,46998,92943,83592,154786,154028,155106,152685,136236,134879,135200,
实收资本(或股本)(万元),70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,70632,
资本公积(万元),46368,46368,46368,46368,46368,46368,46368,46368,46368,46368,46368,46368,46367,45987,45987,45987,45987,45647,45647,45647,45647,45647,45647,45647,45647,45647,45647,45077,45077,45077,45077,45077,45077,45077,45077,39597,39597,39597,39597,39597,39597,39597,39597,39597,39597,39597,39597,39378,39378,39378,
减:库存股(万元),2883,2883,1972,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,--,--,--,--,--,
盈余公积(万元),7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,7679,8177,8177,7679,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
未分配利润(万元),-89990,-88965,-87548,-87796,-88807,-88166,-88286,-89113,-89109,-88639,-88697,-88647,-88893,-88965,-89073,-82771,-82945,-95611,-94960,-99385,-101055,-100033,-102988,-103932,-103867,-112396,-112469,-118523,-127346,-126081,-125776,-126983,-126547,-126222,-126140,-123710,-123474,-123236,-123042,-117485,-128798,-117675,-141644,-84789,-81008,-77790,-74773,-55266,-51831,-20017,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,--,--,--,--,0,0,--,--,0,
归属于母公司股东权益合计(万元),31807,32831,35159,36883,35872,36514,36393,35566,35570,36040,35983,36032,35786,35333,35226,41527,41353,28347,28998,24573,22903,23925,20970,20027,20092,11562,11489,4864,-3959,-2693,-2388,-3595,-3159,-2834,-2753,-5801,-5565,-5327,-5134,424,-10890,233,-23735,33120,36901,40118,43136,62920,66356,97672,
少数股东权益(万元),2690,2729,2766,2825,2832,2843,1886,-3,--,229,235,1304,1789,1816,1875,1820,1923,1900,2026,2308,2520,2588,2730,2656,2657,500,--,1452,0,166,195,210,255,269,287,1357,1392,1418,1443,12,12,12,12,21495,21889,22195,22392,23260,23559,25139,
所有者权益(或股东权益)合计(万元),34497,35560,37925,39709,38704,39357,38278,35563,35570,36269,36218,37336,37575,37150,37101,43347,43276,30247,31024,26881,25423,26513,23700,22683,22748,12062,11489,6316,-3959,-2527,-2193,-3385,-2904,-2565,-2466,-4444,-4173,-3910,-3691,435,-10878,245,-23724,54614,58789,62313,65528,86181,89914,122811,
