报告日期,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应交税费(万元),4467,4485,8282,6706,3173,3960,4612,4825,1584,3601,3495,3832,3025,1645,1946,3171,1366,1735,2427,4226,3364,4587,2115,2314,658,
应付利息(万元),107,132,131,162,145,159,148,100,108,116,113,218,122,166,134,131,176,425,300,189,144,133,344,147,144,
应付股利(万元),2530,2183,2183,1716,1716,808,3153,1373,1213,1224,2067,984,984,469,516,703,703,--,--,--,1114,--,--,--,845,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他应付款(万元),9271,10325,8063,8567,8399,9973,9595,9524,7758,12548,10918,5967,6171,5352,6396,5698,6846,6582,12994,13253,10726,8914,8356,8549,8649,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,2300,2300,2300,2300,--,1100,
其他流动负债(万元),2281,6147,9207,4111,1680,3682,4289,3043,1997,6469,10032,6491,1980,3465,2949,2678,793,2184,4694,4477,1927,2507,3340,793,1978,
流动负债合计(万元),156893,165986,173228,167572,157161,155294,164301,171251,173841,183906,193766,185581,183460,175664,175659,176619,178862,188453,194048,198363,187287,179848,189026,186506,193973,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,2300,2300,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期应付款(万元),1999,1944,1937,1937,1937,1937,1937,1937,1937,1937,1937,1937,1937,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,1628,0,
预计非流动负债(万元),6730,7185,7209,5745,4399,4667,4910,4754,3706,4310,4310,3959,3459,2985,2213,1729,2256,3083,4017,4085,4174,1679,1679,2310,1679,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),6472,6404,6469,6404,6404,6389,6389,6389,6389,6198,6198,7350,6263,10133,10133,10133,10133,8611,8611,8611,8611,11463,10773,11538,11538,
其他非流动负债(万元),4567,5856,4005,4167,4077,3696,3455,3474,3166,2755,2736,2766,2569,2776,2728,2611,2593,2130,6745,6750,6649,1615,1638,--,6018,
非流动负债合计(万元),19768,21390,19619,18253,16817,16689,16692,16554,15198,15200,15181,16012,14229,17880,17060,16459,16967,15811,21359,21433,21420,16742,16076,19763,23521,
负债合计(万元),176662,187376,192847,185825,173978,171983,180993,187805,189039,199106,208946,201593,197689,193544,192720,193078,195830,204264,215408,219797,208707,196591,205102,206269,217494,
实收资本(或股本)(万元),46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,46905,
资本公积(万元),10898,10894,10896,10897,10950,10958,10961,10962,10961,10657,10612,10622,10627,10159,10187,10648,10648,11337,10859,10899,10819,10715,8124,8350,8350,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),17573,14262,14262,14262,14262,11814,11814,11814,11814,9880,9880,9880,9880,8852,8852,8852,8852,8023,8978,8978,8978,4576,4576,4576,8039,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
未分配利润(万元),91293,87659,81508,71748,62288,59634,54580,49427,40973,39261,34845,30478,23841,20755,19653,17326,14092,13783,17206,15738,12373,14598,9002,6328,-1139,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
归属于母公司股东权益合计(万元),166670,159721,153571,143812,134405,129311,124261,119109,110653,106704,102243,97886,91253,86672,85597,83732,80497,80048,83949,82521,79076,76794,68607,66159,62156,
少数股东权益(万元),6620,7389,6973,7139,6353,7470,7061,6509,5839,6170,6490,6018,5563,5627,5651,5306,5104,4927,5058,5016,4788,5077,4897,4735,4704,
所有者权益(或股东权益)合计(万元),173290,167110,160544,150952,140758,136781,131322,125618,116492,112874,108733,103904,96817,92299,91248,89037,85601,84976,89007,87536,83864,81871,73503,70894,66860,
负债和所有者权益(或股东权益)总计(万元),349951,354485,353392,336777,314736,308764,312314,313423,305531,311980,317680,305497,294505,285843,283968,282115,281431,289239,304415,307333,292572,278461,278606,277163,284353,		
  
