报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2844,2938,2959,3017,3074,3128,3189,3337,3351,3405,3512,3573,3634,3695,2799,2820,2841,2862,2882,2903,2879,2898,2918,2938,2977,3001,3074,1483,1518,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,1,1,36,36,36,36,51,56,61,72,80,76,48,54,54,54,54,59,59,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,--,--,1277,1277,1277,1277,388,388,388,388,208,208,208,208,214,218,170,138,110,80,52,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),16754,17128,17346,18808,19127,19419,19757,20720,21131,21470,23231,23560,23682,23956,22314,18512,18838,18830,18404,18361,17400,17701,16926,17110,17965,17501,16432,8874,8037,
资产总计(万元),23371,24254,24940,66339,67257,77668,76973,86113,91519,91446,111583,112315,125602,119486,115751,123499,112290,104339,100455,98448,98103,75109,74177,69482,69587,64739,48800,32244,21565,
短期借款(万元),16826,16826,16826,18916,18916,19116,19516,22916,25155,25179,19908,20508,25416,23000,23000,28500,21690,18690,21290,19290,18000,8000,13000,10600,6000,11000,8390,4000,2720,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,15829,15896,21502,18543,12568,9138,12734,9346,4188,2465,3901,4347,3207,1509,5200,5549,2749,1600,600,
应付账款(万元),1286,--,1373,--,--,6235,6260,6694,6643,8050,8182,8090,8312,8996,9983,12376,7257,7302,6033,5902,4119,6215,5724,5777,7450,9328,5301,3255,2763,
预收账款(万元),962,281,281,2804,2798,3065,3007,1805,1742,1724,2800,2253,3544,2274,2460,4508,2102,600,1596,995,3103,3102,3038,2213,2828,997,779,549,355,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1162,1219,1173,305,158,150,147,101,141,172,87,53,37,125,99,72,45,119,88,67,84,73,17,42,50,65,138,138,141,
应交税费(万元),-9,57,53,1,14,19,81,-11,51,144,-173,-101,627,288,-540,720,612,708,633,951,906,1280,442,775,933,78,231,213,440,
应付利息(万元),3899,--,3899,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1675,--,1889,3602,3802,3258,3387,3589,3676,1210,226,226,353,379,271,306,234,322,320,546,399,311,355,683,466,763,360,141,150,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4400,4400,2000,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),25800,25481,25494,31532,31832,36613,32398,35094,37407,36480,46858,46925,59792,53605,47841,55621,44675,37087,34148,30216,30512,27728,30183,23600,22927,27780,17948,9895,7169,
长期借款(万元),--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2900,2900,5000,5000,7900,10900,8000,7500,5000,2000,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,360,--,--,--,--,--,--,--,--,
预计非流动负债(万元),24044,24044,24044,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),867,911,941,984,1014,1428,1460,1159,1203,1233,1351,1457,1575,1655,1423,1454,1495,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1526,1657,1687,1298,1778,1358,1389,1449,850,850,750,--,
非流动负债合计(万元),24911,24955,24985,984,1014,1428,1460,1159,1203,1233,1351,1457,1575,1655,1423,1454,1495,1526,1657,4587,4558,6778,6358,9289,12349,8850,8350,5750,2000,
负债合计(万元),50711,50435,50478,32516,32846,38041,33858,36253,38610,37713,48210,48381,61366,55260,49264,57075,46170,38613,35805,34803,35070,34506,36541,32888,35276,36630,26298,15645,9169,
实收资本(或股本)(万元),17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,17156,8578,8578,8578,8578,8578,7000,7000,7000,7000,7000,7000,7000,7000,
资本公积(万元),15504,15504,15504,15504,15504,15504,15504,15504,15504,15504,15504,15504,15504,15504,15473,15473,20620,20620,20620,20620,20620,198,198,198,198,198,198,198,198,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3826,3826,3826,3826,3370,3370,3370,3370,2739,2739,2739,2118,1558,967,547,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-64641,-63346,-62703,-3231,-2680,2604,6049,12318,15021,15758,25648,26173,26601,26539,30032,29969,33097,32703,32083,31078,30466,30036,27700,26658,24374,18792,13746,8434,4651,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-27558,-26475,-25833,33467,34018,39161,42606,49285,52264,53001,62448,62893,63088,63026,66487,66424,66120,65726,64650,63645,63033,40603,37636,36594,34311,28108,22502,16599,12396,
少数股东权益(万元),218,295,295,356,393,467,508,574,645,732,925,1040,1148,1201,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),-27340,-26181,-25538,33823,34411,39627,43114,49860,52909,53733,63373,63933,64236,64227,66487,66424,66120,65726,64650,63645,63033,40603,37636,36594,34311,28108,22502,16599,12396,
负债和所有者权益(或股东权益)总计(万元),23371,24254,24940,66339,67257,77668,76973,86113,91519,91446,111583,112315,125602,119486,115751,123499,112290,104339,100455,98448,98103,75109,74177,69482,69587,64739,48800,32244,21565,		
  
