报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
应付票据(万元),41945,13395,6480,3589,2961,1620,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,596,2995,2136,--,--,--,--,--,0,--,--,--,0,
应付账款(万元),2542,1817,1417,1594,1718,1150,927,1040,681,1350,1007,1397,1518,1036,1137,1574,1213,1063,1715,1582,1247,1148,1020,879,1379,1011,849,787,716,754,502,465,465,497,954,96,124,131,14117,10323,8042,7576,2181,1789,2166,2593,
预收账款(万元),548,947,683,675,550,919,1033,626,693,429,625,353,309,507,624,584,586,613,261,241,386,439,426,231,264,209,149,125,140,33,72,32,72,54,62,1,0,39,38,38,38,38,48,48,48,56,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应付职工薪酬(万元),2262,3306,1908,1748,1145,2116,2106,1817,1403,2623,2164,1953,2011,3142,2554,2077,2094,2917,2078,1563,1310,1804,1620,1431,1366,1673,2286,1995,1877,2156,2006,1668,1543,1835,1298,1082,961,1525,1489,1323,1112,1255,952,791,785,939,
应交税费(万元),4194,3434,3318,2855,2700,3011,1940,2042,2353,2094,1843,1884,4029,4044,3809,3411,5721,4782,2683,2070,2405,2107,2175,1802,2589,2582,1421,1327,3005,2716,2088,1409,1944,1396,1167,801,1619,1177,832,537,1165,750,617,419,744,582,
应付利息(万元),3027,1621,3582,1761,948,2386,8189,5700,3069,2840,7988,6943,3846,3640,8342,5310,2643,2834,7976,5310,2644,2900,5463,3639,2312,869,206,185,204,168,135,139,153,150,233,120,145,142,168,150,132,113,82,55,61,55,
应付股利(万元),2038,2038,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2329,--,--,838,838,838,838,--,--,--,--,--,5990,0,0,0,3984,--,--,--,--,--,0,--,--,--,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
其他应付款(万元),70959,88377,62610,45394,42116,43752,43578,42434,57432,48007,42093,40721,39869,43903,31552,34500,20560,23581,14581,13076,11537,13706,17482,17135,15962,18446,12138,13735,13560,20267,21442,22190,20143,27167,42208,39210,36338,35806,9589,9412,2432,2695,21642,22506,21853,2023,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动负债(万元),7035,7351,26016,23876,24006,63306,105661,110700,70700,70740,135,135,135,135,135,31075,31095,31105,15155,135,135,135,--,49970,54965,54982,55000,5000,--,--,--,0,0,0,0,0,--,--,--,23000,23000,23000,23000,--,--,0,
其他流动负债(万元),--,--,--,--,5000,56400,36000,30000,30000,600,--,--,30000,30000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,4809,--,0,520,7210,412,0,
流动负债合计(万元),265949,248683,232413,238893,242544,259659,269434,218359,186332,158683,85854,83386,81717,86408,78154,78531,63913,66896,44448,26306,19664,22238,39025,85925,94675,101610,110902,54507,49855,51948,35664,44312,36738,44113,77834,134429,129187,124320,124734,109489,80816,80322,62293,32817,26069,20248,
长期借款(万元),117048,117048,121068,116523,117613,118629,89608,79384,58874,48983,48978,46465,45424,39082,35665,26572,22124,18544,31052,64264,84732,83306,91599,51317,49920,35990,36000,86000,91000,91000,91000,91000,91000,91000,75000,0,--,--,--,--,--,0,--,23000,23000,23000,
应付债券(万元),55999,55999,56975,56938,56901,56864,56827,56790,96753,96716,96679,96642,96605,96568,96531,96494,96457,96420,96383,96345,96308,96271,40000,40000,40000,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
长期应付款(万元),--,--,--,--,--,--,--,--,25142,25142,25142,25142,25142,25142,23936,21201,21201,21201,20145,20145,19125,19125,18655,15739,15739,14013,14013,6323,16139,20939,17098,14794,14794,14794,0,0,--,--,--,--,--,0,--,--,--,0,
专项应付款(万元),1366,--,131,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1173,1173,1594,1594,200,200,200,--,--,--,--,0,--,--,--,0,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
长期递延收益(万元),6021,6063,4836,4877,4919,4960,5043,5043,5084,5125,--,146,148,150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),2153,2179,2204,2265,2278,2281,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,339,339,339,339,463,463,463,463,
其他非流动负债(万元),133108,145367,156401,111399,80446,51102,22494,22569,22603,22637,92815,92704,92738,92772,71805,71839,71873,71907,71940,71974,72008,72042,72210,72244,72278,72311,2345,2379,2413,2446,2480,2514,2548,2581,2672,2763,2683,2758,2887,2993,3075,3181,3270,3294,3319,3332,
非流动负债合计(万元),315695,326655,341615,292134,262157,233836,173972,163786,208456,198603,263614,261099,260056,253713,227938,216106,211654,208072,219519,252728,272174,270745,222465,179300,177937,122314,52358,94702,109552,114386,111752,109481,109936,109969,77872,2963,2883,2758,3226,3332,3414,3520,3733,26758,26782,26795,
负债合计(万元),581645,575338,574028,531026,504701,493495,443406,382146,394788,357287,349468,344484,341773,340121,306092,294637,275567,274968,263967,279034,291838,292983,261489,265225,272612,223925,163261,149209,159407,166334,147416,153793,146674,154082,155706,137392,132069,127078,127960,112821,84230,83842,66026,59575,52851,47043,
实收资本(或股本)(万元),23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,23060,
资本公积(万元),23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,23414,21972,21972,21972,21972,22064,22064,22064,22064,22064,22064,22064,22064,20912,20912,20912,20912,21110,21110,21110,21089,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
专项储备(万元),773,749,743,721,707,677,667,639,614,594,558,507,476,424,392,343,299,262,228,188,145,147,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),31860,31860,31860,31860,31860,31860,31860,31860,31725,31725,31453,30708,30708,30708,29220,29220,28468,28468,26966,26966,26383,26383,25216,24299,24299,24299,22466,22466,21727,21727,20249,20249,19650,19650,18452,18452,18054,18054,17299,17299,16898,16898,16097,16097,15415,15415,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
未分配利润(万元),89764,91016,95490,97713,96615,96606,98858,98425,97482,96550,94737,95640,93637,91377,89283,83315,76862,72094,67936,62609,60034,55752,53172,52121,48029,45261,42888,39994,40169,37857,35635,31782,34945,31684,29398,26437,27986,25428,23934,21889,26895,24785,23351,21129,25309,21853,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,--,--,0,--,--,--,0,
归属于母公司股东权益合计(万元),168936,170165,174632,176834,175722,175684,177924,177464,176360,175409,173203,173310,171276,169049,165369,159352,152103,147299,141604,136237,133035,128756,124862,122895,118802,116034,110386,107492,106929,104617,101009,97155,99719,96458,92974,90014,91164,88606,85205,83159,87764,85655,83618,81396,84895,81418,
少数股东权益(万元),188782,187402,87070,86667,86210,85725,83065,82599,82017,31701,31241,30757,30222,29794,29790,29264,28457,27840,27747,27299,26762,26169,25811,25369,25053,24840,27036,23787,23951,9513,10200,10289,10496,10709,10876,11048,11171,11270,--,--,--,0,--,--,--,0,
所有者权益(或股东权益)合计(万元),357718,357567,261703,263501,261932,261409,260990,260063,258377,207109,204444,204067,201498,198842,195159,188617,180560,175139,169351,163536,159797,154925,150673,148264,143855,140874,137422,131279,130880,114129,111208,107445,110215,107167,103850,101062,102335,99877,85205,83159,87764,85655,83618,81396,84895,81418,
负债和所有者权益(或股东权益)总计(万元),939362,932905,835730,794528,766632,754904,704396,642209,653164,564396,553913,548551,543271,538963,501250,483253,456128,450106,433318,442570,451635,447909,412162,413489,416467,364799,300683,280488,290287,280463,258624,261238,256889,261249,259556,238454,234404,226955,213165,195981,171995,169496,149643,140971,137746,128461,		
  
