报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2011-03-31,2010-12-31,2010-09-30,
长期应付款(万元),--,--,--,--,-50,--,--,515,515,--,--,--,--,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,67,67,67,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
长期递延收益(万元),541,335,335,--,-32,--,--,--,--,--,--,--,--,0,0,0,
递延所得税负债(万元),1066,1066,1066,802,802,802,902,1334,1334,--,--,--,--,0,0,0,
其他非流动负债(万元),--,--,--,120,120,120,--,--,--,--,--,--,--,0,0,0,
非流动负债合计(万元),1607,1401,1401,922,840,2922,902,1849,1849,0,0,0,0,67,67,67,
负债合计(万元),55332,30733,34614,53196,40944,37356,42476,42279,47342,21616,28491,25937,15003,120571,120585,116621,
实收资本(或股本)(万元),23924,23924,23924,23924,23924,23924,23924,23924,23924,23924,23924,23924,23924,13291,13291,13291,
资本公积(万元),80764,80764,80764,80746,80746,80746,80746,80535,80570,80570,80585,80586,80626,13827,13827,13827,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
专项储备(万元),--,--,--,-4,-4,-2,--,--,--,--,--,--,--,0,0,0,
盈余公积(万元),2283,2283,2283,2288,2283,2294,2283,2283,2283,2283,2283,2283,2283,2283,2283,2283,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-3447,-3438,-3777,
未分配利润(万元),-76950,-78272,-78391,-78149,-79287,-80773,-80804,-81968,-82053,-85346,-88394,-89865,-90061,-140663,-140507,-134649,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
归属于母公司股东权益合计(万元),35100,30992,30413,32000,32380,29640,29600,28439,25658,21431,18398,16928,16772,-114709,-114544,-109025,
少数股东权益(万元),8086,7728,7771,8913,8305,7918,7896,5185,5259,1127,17228,17091,16686,397,394,402,
所有者权益(或股东权益)合计(万元),43185,38719,38184,40914,40686,37557,37496,33624,30917,22558,35626,34018,33458,-114312,-114150,-108623,
负债和所有者权益(或股东权益)总计(万元),98518,69452,72798,94110,81629,74913,79971,75903,78259,44173,64116,59955,48460,6259,6436,7999,		
  
