报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,
其他流动资产(万元),44,54,49,18,44,53,44,44,132,234,197,32,240,--,--,--,--,0,--,
流动资产合计(万元),25011,26614,26597,23283,22996,24448,22406,21101,21183,20569,19292,24658,18800,15743,18686,6076,6114,6996,36277,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
长期股权投资(万元),150,150,--,--,--,--,--,--,--,--,--,--,--,--,--,31277,31277,31277,32631,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15530,15536,17221,40449,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10285,10234,11092,21348,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5246,5302,6130,19102,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2144,2144,2438,7061,
固定资产(万元),314,--,436,456,448,385,402,442,434,475,466,467,488,407,377,3102,3157,3692,12041,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,969,969,971,2157,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
无形资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,974,979,1036,4078,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,113,113,113,--,--,--,0,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
长期待摊费用(万元),--,7,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
递延所得税资产(万元),56,121,110,64,65,59,59,23,59,65,65,8,8,--,15,--,--,0,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
非流动资产合计(万元),520,737,591,520,513,444,461,465,493,540,531,589,610,4020,392,36322,36383,36976,50907,
资产总计(万元),25530,27351,27188,23803,23509,24892,22867,21567,21676,21109,19823,25246,19410,19763,19077,42398,42497,43973,87184,
短期借款(万元),--,--,--,--,--,--,--,--,--,--,--,12599,--,--,--,43913,54261,54261,71465,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,115,310,479,--,--,0,--,
应付账款(万元),2236,--,4352,--,--,2700,3501,3802,3897,2301,2868,2002,1015,661,1044,2778,2793,2228,10394,
预收账款(万元),426,1523,62,1361,1284,1190,32,352,452,1530,475,977,2571,3900,3229,1211,1179,1287,2580,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付职工薪酬(万元),130,109,206,114,119,--,168,134,--,152,208,--,105,--,110,21669,17926,12730,12107,
应交税费(万元),408,463,769,514,477,703,676,16,483,27,411,829,273,393,556,-208,-208,-219,387,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,17805,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,64,64,66,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他应付款(万元),141,--,208,420,291,1476,209,537,461,1208,405,25263,120,102,192,38522,25942,23977,25151,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30592,29885,20095,2186,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,421,
其他流动负债(万元),--,--,--,--,--,234,--,382,--,357,--,60,60,60,60,--,--,0,--,
流动负债合计(万元),3342,5445,5596,4196,4118,6303,4586,5223,5294,5573,4368,41729,4260,5425,5670,138542,131842,114421,142561,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,1000,4000,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,75,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15000,15000,15000,15000,
长期递延收益(万元),--,179,179,--,90,90,90,--,208,288,288,--,--,--,--,--,--,0,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
非流动负债合计(万元),0,179,179,0,90,90,90,0,208,288,288,0,0,0,0,16000,16000,16000,19075,
负债合计(万元),3342,5625,5776,4196,4208,6393,4676,5223,5502,5861,4656,41729,4260,5425,5670,154542,147842,130421,161636,
实收资本(或股本)(万元),81888,81888,81888,81888,81888,81888,81888,81888,81888,81888,81888,81888,11367,11367,11367,11400,11400,11400,11400,
资本公积(万元),-149795,-149795,-149795,-149795,-149795,-149795,-149795,-149795,-149795,-149795,-149795,-137875,--,--,--,35623,35623,35623,35623,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
盈余公积(万元),1471,1471,1471,1143,1143,1174,1143,952,953,835,835,--,--,--,--,1607,1607,1607,1607,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
未分配利润(万元),88624,88028,87713,86263,85956,85234,84955,83298,83128,82320,82239,39504,3783,2970,2040,-160692,-153944,-135218,-124797,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
归属于母公司股东权益合计(万元),22188,21592,21277,19499,19192,18501,18191,16343,16174,15248,15167,-16483,15150,14337,13407,-112061,-105313,-86587,-76167,
少数股东权益(万元),--,134,135,107,109,-1,0,--,--,--,--,--,--,--,--,-82,-31,139,1715,
所有者权益(或股东权益)合计(万元),22188,21726,21412,19607,19301,18500,18191,16343,16174,15248,15167,-16483,15150,14337,13407,-112144,-105344,-86449,-74452,
负债和所有者权益(或股东权益)总计(万元),25530,27351,27188,23803,23509,24892,22867,21567,21676,21109,19823,25246,19410,19763,19077,42398,42497,43973,87184,		
  
