报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
非流动负债合计(万元),1183708,1362787,1363739,1356109,1307098,1025846,439698,446048,339260,160398,80600,797721,801934,806086,816926,855556,864290,890231,922791,923811,208584,259750,256695,865821,875734,1062993,1052059,1065635,1079603,1213746,1461994,1666965,1650980,1654488,1559805,1530224,1443111,1335240,1278543,1633436,841649,
负债合计(万元),6232861,6759562,6838887,6821719,6586191,6529018,6185374,6214047,5948439,6185996,6040856,5915421,5754797,5908663,5999496,5945101,6197119,6774868,6498285,6489732,5891046,5664377,5740702,4804459,4802456,4635764,4614636,4628913,4596985,4712027,4460972,4326646,4559926,4206964,4223013,4266972,3912236,2662073,2663066,2564895,1899000,
实收资本(或股本)(万元),1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,1009378,783815,783815,783815,783815,783815,783815,783815,783815,783800,783800,783800,783800,783800,783800,783800,783800,783800,783800,
资本公积(万元),992948,992948,992948,992948,992948,992948,992948,1001429,992948,1014093,1014093,1014093,1014093,1014036,1014036,1014036,1014036,1014033,1014033,1014033,1014036,1014036,1014231,511685,511685,511402,511402,511402,511402,522774,534646,546695,529586,490808,492041,487225,525239,624816,623540,577516,1249733,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,0,0,
专项储备(万元),2687,2569,2587,2180,1719,2724,2523,1509,1473,2293,2593,2424,1316,2060,1870,2422,1702,2803,3086,2199,1904,2864,2822,1608,1113,4203,3853,1376,1083,1669,1269,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),475139,475139,475139,475139,475139,475139,475139,454963,475139,474386,474386,474386,474386,471961,471961,471961,471961,467334,467334,467334,467334,459000,459000,438824,438824,423402,423402,423402,423402,411317,411317,413288,412308,373246,373246,373246,373246,291457,291457,291457,311412,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
未分配利润(万元),393331,419317,409566,385315,382290,1033632,1185931,1241908,1184239,1151293,1117054,1113115,1094441,1119232,1100215,1088037,1064237,1080665,1061362,1102638,1098332,1171944,1130602,1144959,1084159,1053137,1025508,1036332,1007536,973337,918681,1065793,1040523,1314053,1088266,1099522,894990,814037,656763,690800,557418,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,-37,-37,-39,-49,-32,-32,-14,-14,-6,-6,-13,-13,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,0,--,0,
归属于母公司股东权益合计(万元),2851197,2879457,2867099,2832736,2829094,3476732,3612447,3662158,3626036,3651406,3617469,3613357,3593564,3616636,3597428,3585819,3561300,3574207,3555187,3595570,3590971,3657222,3616033,2880893,2819597,2775959,2747980,2756328,2727239,2692913,2649729,2809576,2766217,2961907,2737353,2743793,2577275,2514111,2355560,2343574,2902363,
少数股东权益(万元),31912,30303,30235,30653,30298,31335,33242,32556,31877,125352,125675,122716,119279,116081,114853,115397,114344,131796,128374,128298,128050,142043,141971,8498,8439,7870,8067,8206,8177,7821,5086,5266,5221,5109,5081,5156,5171,0,0,0,2909,
所有者权益(或股东权益)合计(万元),2883109,2909760,2897334,2863389,2859393,3508067,3645688,3694715,3657912,3776759,3743143,3736073,3712843,3732717,3712280,3701216,3675644,3706004,3683561,3723867,3719021,3799264,3758004,2889391,2828035,2783829,2756048,2764534,2735415,2700733,2654815,2814842,2771438,2967015,2742434,2748949,2582446,2514111,2355560,2343574,2905272,
负债和所有者权益(或股东权益)总计(万元),9115970,9669322,9736221,9685108,9445584,10037086,9831063,9908761,9606351,9962755,9784000,9651494,9467640,9641380,9711777,9646317,9872763,10480871,10181846,10213599,9610067,9463641,9498706,7693850,7630491,7419593,7370684,7393447,7332401,7412761,7115787,7141488,7331364,7173980,6965448,7015921,6494682,5176184,5018626,4908469,4804272,		
  
