报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
固定资产净值(万元),44368,--,21746,--,22426,--,19265,--,22072,--,22175,--,22848,--,24320,--,24744,--,25502,--,18065,--,18150,--,18742,--,17919,--,17398,--,11299,--,11135,--,11213,--,16344,--,11693,--,12343,
固定资产减值准备(万元),21,--,21,--,21,--,107,--,107,--,107,--,107,--,107,--,107,--,107,--,107,--,107,--,107,--,865,--,865,--,843,--,916,--,828,--,854,--,978,--,978,
固定资产(万元),44347,21465,21725,21775,22405,19203,19159,21660,21965,21691,22069,22418,22742,24575,24214,24771,24637,25151,25396,17655,17959,18039,18043,18359,18635,16810,17054,16849,16533,10703,10455,10271,10219,10309,10385,15160,15490,5502,10715,10987,11365,
在建工程(万元),6877,30042,25869,29193,24237,38665,44803,50574,43518,48795,43776,38960,33159,18543,14531,10985,11025,1916,360,22478,22293,16911,13249,11373,9217,9640,5346,779,1576,6591,6624,6406,5451,856,743,805,796,10225,10022,7564,5765,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,76,76,21,24,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,5,154,--,--,2,2,--,--,2,3,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
无形资产(万元),16339,12144,12161,12314,12522,13573,13479,13590,14326,13761,13771,13879,13987,13613,13734,13855,13985,14107,14227,14353,14487,14326,14427,14532,14637,14712,14815,14790,15518,4890,4943,4996,4793,4817,4857,11800,11845,1510,8375,8181,8248,
开发支出(万元),3064,6294,5434,4154,3937,3323,2186,1325,991,1453,468,--,--,--,--,229,232,385,337,520,486,699,674,721,616,560,416,412,298,179,124,119,80,71,47,15,24,--,--,0,0,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期待摊费用(万元),234,452,424,430,489,515,368,308,305,296,303,329,352,367,374,378,410,399,436,442,482,483,400,372,393,404,416,408,61,51,19,--,--,--,--,114,114,114,114,114,136,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
递延所得税资产(万元),2283,1651,1589,1961,1917,1553,1660,1578,1546,1500,1475,1382,1375,1234,1188,1093,957,1213,1177,1025,948,828,819,968,932,1036,992,944,918,2313,2306,2280,2280,3553,3553,3598,3562,4835,4727,4662,4619,
其他非流动资产(万元),654,2369,2557,1389,560,2602,2805,3469,6595,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,20,0,--,40,--,0,--,--,--,--,--,--,--,--,0,0,
非流动资产合计(万元),351948,348672,358291,409987,379743,260397,253636,155528,144073,132785,127253,122453,117195,110716,109030,105081,102026,98001,97148,93146,93478,73523,69948,68529,66758,65473,62399,57656,62090,63243,62914,56713,55859,53466,54305,65995,66741,54441,67123,57924,56499,
资产总计(万元),649519,592701,600516,651721,645493,505383,490263,411578,402937,318202,313009,289605,283889,265271,238632,227874,235882,224903,211772,200626,213044,201883,189609,182987,187312,183684,186023,177638,177204,142299,152370,147345,142695,146962,137897,157400,155730,144147,139014,129603,132863,
短期借款(万元),15000,--,--,--,22430,1800,8800,11800,6800,12200,13700,13700,8700,13700,13700,13700,13700,3914,5440,4990,5485,6193,1713,993,997,203,203,203,203,1403,1403,1403,1780,2580,2580,5580,12080,14414,14590,10090,10565,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,0,0,0,--,--,--,--,--,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付票据(万元),21647,27143,20577,20209,19339,22889,15622,18379,19129,14001,9802,9376,13179,7000,4463,4284,8762,7419,3655,3704,7351,5464,1650,2719,4474,3997,2506,1838,1940,1213,9488,8430,1387,3931,2930,1418,3000,2162,4203,3192,3178,
应付账款(万元),50778,39973,44750,37091,41625,44029,40172,36365,33200,36115,37358,34065,33626,34693,29955,28503,30626,28527,26559,19804,22116,21396,22038,19277,20543,22529,22625,16286,15170,16644,19290,16901,16420,15122,15588,21369,21914,19173,16956,14510,15633,
预收账款(万元),26952,4855,3880,8620,10901,3513,4039,7949,9175,6335,5579,5966,5884,7159,1693,1634,3538,1449,1551,1435,2398,985,715,814,690,2387,2063,1783,2372,1455,1497,1133,901,1327,1429,12663,13069,1653,1221,1132,1722,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付职工薪酬(万元),9021,3825,3785,6013,7100,1798,4260,4586,5030,1299,1603,3473,3884,1175,1318,2603,2936,1469,934,1324,1402,868,1590,1675,1924,2724,3324,3465,3648,1078,796,1755,1948,1382,942,1757,2279,1848,1515,1476,1912,
应交税费(万元),12075,2847,2373,3229,7045,1078,1621,1256,3686,352,376,-449,1472,-517,-343,-593,1051,668,18,-225,3018,1006,790,-153,1800,716,4653,3540,5430,-106,503,-404,805,-431,-289,-524,114,3343,498,518,1107,
应付利息(万元),4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,8,8,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,278,38,38,38,38,38,38,38,204,38,38,38,38,38,71,38,38,38,38,38,38,578,38,--,38,--,--,--,--,--,--,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应付款(万元),8665,12000,10265,8322,7345,17717,8408,5963,5171,3731,4634,4629,5597,5302,6066,7962,5286,3172,6653,3243,3879,2655,2644,2316,2365,4305,4827,4640,4721,4204,4258,4367,4692,8314,8694,8531,8372,7612,8719,8443,8786,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,332,350,344,338,332,327,322,316,311,304,299,293,288,--,--,--,--,--,--,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,38,--,40,38,7776,38,161,161,425,425,
流动负债合计(万元),144142,90642,85630,83483,115785,92823,82922,86297,82471,74071,73090,70799,72379,68550,56890,58131,66102,46656,44848,34314,46019,38955,31555,28027,33172,37226,40561,32110,33832,26774,37572,33915,28259,32265,31911,58568,60865,50367,47863,39786,43328,
长期借款(万元),15200,15200,18200,23200,12000,25500,26500,43500,46500,46500,46500,46500,38500,30000,20000,10000,7000,17000,10000,10000,10000,7036,3236,2036,736,--,0,--,0,--,0,--,--,282,277,272,267,262,257,252,247,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,27,27,27,27,
专项应付款(万元),6770,6826,6840,6280,6280,5800,5800,5800,6290,25950,25800,4300,5026,3000,3000,--,--,--,0,--,--,--,--,--,0,1940,1940,2040,2040,1940,1940,1940,1940,45,45,45,45,757,757,675,545,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2967,2967,2967,2967,2967,2967,2967,2967,2967,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
长期递延收益(万元),25595,26347,25605,25664,25904,25825,25883,26170,26358,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),29352,29995,32097,39605,35694,16574,15851,1249,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,208,208,178,208,137,274,281,249,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,26134,26171,26247,26247,24843,24843,24843,24843,25132,25132,25132,25132,25768,25582,23820,23820,23320,22942,18658,15658,15856,15856,15856,15856,16128,9081,252,212,--,--,0,0,
非流动负债合计(万元),76917,78368,82742,94749,79878,73698,74034,76720,79148,98584,98471,77047,69773,57843,47843,34843,34810,45100,38100,38100,38100,35772,31785,28823,27523,25260,24882,20698,17698,17796,17796,17796,17796,16662,9610,747,731,1182,1315,1235,1068,
负债合计(万元),221058,169011,168373,178232,195663,166522,156957,163016,161618,172655,171561,147846,142152,126393,104733,92974,100912,91756,82948,72413,84119,74727,63340,56851,60696,62485,65443,52808,51530,44571,55368,51712,46055,48927,41521,59316,61597,51549,49177,41021,44396,
实收资本(或股本)(万元),81482,81482,81482,81482,81482,81482,81482,40741,40741,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,37556,25037,25037,25037,25037,25037,25037,
资本公积(万元),97040,97040,97040,97040,97040,96231,96868,137609,137609,44296,43779,43779,43779,43779,43779,43779,43779,43778,43778,43705,44113,44113,44113,44113,44113,42173,42173,42173,42173,42170,42170,42170,42170,42170,42170,54689,54838,54643,54597,54597,54597,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,0,0,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),10721,10721,10721,10721,10721,10189,10189,10189,10189,9900,9900,9900,9900,8955,8955,8955,8955,8946,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,8950,6191,6191,6191,6191,6031,6031,6031,6031,5787,5787,5787,6096,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
未分配利润(万元),67092,60163,56927,55434,55050,48807,46202,44790,45044,42663,39066,39281,38881,36684,31603,32403,32198,30350,27585,26891,27357,25722,24714,24434,24902,19926,19461,23956,24765,7853,6197,5311,6417,7532,6427,8066,2734,1996,-1272,-2506,-2900,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
归属于母公司股东权益合计(万元),422662,419379,428055,469104,446557,330627,324561,240410,233583,134415,130301,130516,130116,126975,121893,122693,122488,120630,117868,117102,117976,116341,115333,115053,115521,108605,108140,112636,113444,93771,92115,91229,92335,93289,92184,93824,88640,87463,84149,82915,82831,
少数股东权益(万元),5799,4312,4088,4385,3274,8234,8745,8151,7735,11132,11146,11243,11621,11904,12006,12207,12483,12518,10956,11111,10949,10815,10935,11083,11096,12593,12440,12195,12231,3957,4887,4404,4305,4746,4191,4261,5493,5134,5688,5667,5636,
所有者权益(或股东权益)合计(万元),428461,423691,432143,473489,449830,338861,333306,248561,241319,145547,141447,141759,141737,138879,133899,134900,134971,133148,128824,128212,128925,127156,126268,126137,126617,121198,120580,124830,125675,97728,97001,95633,96640,98035,96376,98085,94133,92597,89837,88582,88467,
负债和所有者权益(或股东权益)总计(万元),649519,592701,600516,651721,645493,505383,490263,411578,402937,318202,313009,289605,283889,265271,238632,227874,235882,224903,211772,200626,213044,201883,189609,182987,187312,183684,186023,177638,177204,142299,152370,147345,142695,146962,137897,157400,155730,144147,139014,129603,132863,		
  
