报告日期,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2009-09-30,2009-06-30,2009-03-31,
资产总计(万元),4371,4371,4516,4516,4516,4569,4571,4571,7501,7515,7538,7549,7560,7572,7580,7599,7619,7686,7702,7709,7725,9343,9360,9436,
短期借款(万元),4849,4849,4849,4849,4849,4849,4849,4849,8749,8749,8749,8749,8749,8749,8749,8749,8749,8749,8749,8749,8749,26292,26292,26292,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),1200,1200,1200,1200,1200,1200,1200,1200,1196,1196,1196,1196,1196,1196,1196,1243,1243,1264,1264,1255,1244,1352,1352,1352,
预收账款(万元),91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,153,153,825,825,827,827,603,542,543,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1949,1941,1893,1880,1868,1826,1806,1785,1934,1918,1903,1855,1855,1833,1809,1784,1763,1506,1685,1654,1621,1266,1227,1190,
应交税费(万元),4235,4235,4235,4235,4235,4235,4235,4235,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3780,3786,3780,3618,3613,3600,
应付利息(万元),--,4565,4565,4565,4565,4565,4565,4565,8558,8558,8558,8558,8558,7528,7528,7528,7528,7474,7363,7100,6963,11589,11174,10764,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),--,8178,8167,8167,8167,8163,8140,8115,7059,7281,7267,7226,7226,7120,7102,6971,6958,6279,6249,6298,6195,5171,5158,5132,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),25067,25059,25000,24988,24975,24929,24886,24841,31367,31573,31545,31456,31456,30298,30256,30208,30175,29877,29915,29669,29378,49891,49360,48874,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),35990,35990,35990,35990,35990,35990,35990,35990,6847,6784,6720,6595,6595,6531,6468,6405,6342,6279,6215,6152,6090,5268,5204,5141,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),35990,35990,35990,35990,35990,35990,35990,35990,6847,6784,6720,6595,6595,6531,6468,6405,6342,6279,6215,6152,6090,5268,5204,5141,
负债合计(万元),61058,61049,60991,60978,60965,60920,60877,60831,38215,38357,38265,38051,38051,36829,36724,36613,36517,36155,36130,35821,35468,55159,54564,54015,
实收资本(或股本)(万元),33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,33846,
资本公积(万元),295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),-99246,-99237,-99037,-99024,-99011,-98915,-98870,-98825,-73285,-73414,-73300,-73076,-73066,-71834,-71722,-71594,-71479,-71053,-71013,-70699,-70333,-88727,-88115,-87491,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),-56420,-56411,-56211,-56198,-56185,-56089,-56044,-56000,-30459,-30588,-30474,-30250,-30240,-29009,-28896,-28768,-28653,-28227,-28187,-27873,-27507,-45901,-45289,-44665,
少数股东权益(万元),-267,-267,-264,-264,-264,-262,-261,-260,-255,-254,-253,-251,-250,-249,-248,-246,-245,-241,-240,-239,-236,85,85,85,
所有者权益(或股东权益)合计(万元),-56687,-56678,-56475,-56462,-56449,-56351,-56306,-56260,-30714,-30842,-30727,-30501,-30491,-29257,-29144,-29014,-28899,-28469,-28428,-28112,-27743,-45816,-45204,-44580,
负债和所有者权益(或股东权益)总计(万元),4371,4371,4516,4516,4516,4569,4571,4571,7501,7515,7538,7549,7560,7572,7580,7599,7619,7686,7702,7709,7725,9343,9360,9436,		
  
