报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
营业利润(万元),22848500,22222900,22001100,23037600,23091900,21219100,18730500,16853900,14216300,11055800,8615300,8820700,6595400,6474400,5784100,5482600,1683500,1015100,602200,637100,
营业外收入(万元),180900,164500,292300,192500,131600,109300,69800,64800,73000,119400,124300,48500,104400,138100,0,17900,--,--,184300,60700,
营业外支出(万元),65100,97100,52200,73000,75700,50700,62300,54300,74800,65500,114500,0,--,--,0,--,--,--,102900,37500,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
利润总额(万元),22964300,22290300,22241200,23157100,23147800,21277700,18738000,16864400,14214500,11109700,8625100,8995500,6763000,5514000,3457600,3857300,1385500,1091400,683600,660300,
所得税费用(万元),3720800,3791700,3836100,5215400,5428000,4903600,4185800,3832500,3245400,2574800,2117800,2793800,1957200,2254300,933000,667600,286700,276100,225600,217900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
净利润(万元),19243500,18498600,18405100,17941700,17719800,16374100,14552200,13031900,10969100,8534900,6507300,6201700,4805800,3259700,2524600,3189700,1098800,815300,458000,442400,
归属于母公司所有者的净利润(万元),18008600,17240700,16457800,17084500,16959500,15691100,13943200,12418200,10441800,8081900,6353900,5622900,4262400,2749200,2093200,2870700,950900,790800,458000,442400,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,--,--,--,--,
少数股东损益(万元),1234900,1257900,1947300,857200,760300,683000,609000,613700,527300,453000,153400,578800,543400,510500,431400,319000,147900,24500,--,--,
基本每股收益,0.59,0.56,0.54,0.56,0.61,0.56,0.5,0.44,0.39,0.32,0.25,0.22,0.18,0.15,0.11,0.15,--,--,--,--,
稀释每股收益,0.59,0.56,0.54,0.56,0.58,0.54,0.48,0.43,0.39,0.32,0.25,0.22,0.18,0.15,0.11,0.15,--,--,--,--,
