报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2,0,6,3,2,0,6,4,3,1,73,8,8,5,35,--,--,--,0,--,--,--,0,0,0,--,2,--,--,--,0,--,--,--,0,--,--,--,0,--,--,--,
销售费用(万元),30,30,95,3,3,1,48,41,10,0,58,57,55,55,114,67,54,20,141,127,95,39,45,37,22,7,41,40,16,9,45,29,14,9,85,80,53,41,48,58,51,37,
管理费用(万元),199,111,444,303,235,117,365,243,162,94,466,301,227,142,527,336,205,89,581,397,216,126,587,489,234,109,624,366,220,91,607,390,259,103,525,342,248,110,499,282,187,85,
财务费用(万元),-12,-2,-49,-54,-9,-4,-20,-14,-9,-7,56,51,36,15,42,12,-5,16,46,68,52,16,85,49,32,15,65,47,32,16,58,52,34,18,95,81,65,21,-34,32,23,15,
资产减值损失(万元),--,--,-21,--,--,--,10,--,--,--,6,3,3,--,4,--,--,--,7,--,--,--,-5,--,--,--,21,--,--,--,228,--,--,--,125,--,--,--,36,--,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
投资收益(万元),4,--,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),78,-52,119,122,-1,-7,4,57,36,-5,1858,-47,-63,-100,381,-365,-217,-109,-529,-398,-207,-98,-565,-488,-241,-105,-594,-371,-204,-82,-805,-390,-255,-97,-601,-356,-236,-117,-426,-235,-155,-69,
营业外收入(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,0,314,585,169,71,1824,1736,1532,81,693,434,211,85,513,330,135,67,862,266,109,53,929,289,204,73,355,194,77,43,
营业外支出(万元),--,--,--,--,--,--,4,4,4,3,11,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,3,1,1,--,--,--,--,--,11,0,0,0,0,--,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,11,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
利润总额(万元),79,-52,119,122,-1,-7,-0,53,32,-8,1847,-47,-63,-100,694,220,-48,-37,1296,1338,1324,-18,126,-54,-30,-20,-84,-42,-70,-15,57,-123,-146,-44,317,-67,-31,-44,-71,-40,-78,--,
所得税费用(万元),16,0,16,30,--,--,--,15,9,--,520,23,23,--,172,69,0,--,330,342,334,--,34,0,0,--,5,0,0,--,71,1,1,--,73,0,0,--,8,1,1,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),64,-52,103,91,-1,-7,-0,38,24,-8,1327,-69,-86,-100,522,151,-48,-37,966,995,990,-18,92,-55,-31,-20,-89,-42,-71,-15,-14,-124,-147,-44,244,-67,-32,-44,-80,-41,-79,-26,
归属于母公司所有者的净利润(万元),61,-47,94,83,-3,-6,3,39,24,-8,1178,-68,-85,-95,478,156,-45,-37,965,998,991,-17,92,-52,-28,-19,-89,-39,-70,-14,10,-122,-146,-43,256,-61,-29,-41,-77,-41,-79,-26,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
少数股东损益(万元),3,-5,9,8,2,-0,-3,-1,-0,-0,149,-2,-1,-5,44,-5,-3,-0,1,-3,-1,-1,-0,-3,-3,-1,0,-3,-0,-1,-23,-2,-1,-1,-12,-6,-3,-4,-3,-0,-0,-0,
基本每股收益,0,-0,0,0,-0,-0,0,0,0,-0,0.05,-0,-0,-0,0.02,0.01,-0,-0,0.04,0.04,0.04,-0,--,-0,-0,-0,-0,-0,-0,-0,0,-0.01,-0.01,-0,0.01,-0,-0,-0,0,-0,-0,-0,
稀释每股收益,0,-0,0,0,-0,-0,0,0,0,-0,0.05,-0,-0,-0,0.02,0.01,-0,-0,0.04,0.04,0.04,-0,--,-0,-0,-0,-0,-0,-0,-0,0,-0.01,-0.01,-0,0.01,-0,-0,-0,0,-0,-0,-0,
