报告日期,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
营业利润(万元),136817,66036,13379,93255,82285,48570,18022,34644,44267,31474,14889,62145,40897,13354,4049,66499,76275,30602,-255,-16305,12782,39036,32026,95431,68334,36858,13924,117525,88434,52426,24278,
营业外收入(万元),891,668,170,8011,8916,234,125,758,423,320,120,1518,517,337,117,772,658,362,111,854,268,183,99,720,619,29,3,37,4,3,2,
营业外支出(万元),10815,4566,259,5156,1372,967,247,2378,1417,715,349,2186,1321,512,229,3505,1618,641,317,2131,1565,973,269,2030,1349,722,207,3702,1950,758,89,
非流动资产处置损失(万元),9698,3942,2,3746,224,--,--,831,169,94,94,824,210,--,--,1705,25,0,0,782,417,0,--,752,--,--,0,2721,--,--,--,
利润总额(万元),126892,62139,13290,96110,89829,47837,17900,33024,43273,31079,14660,61478,40093,13179,3937,63767,75314,30323,-461,-17582,11484,38246,31856,94122,67604,36165,13719,113861,86488,51671,24191,
所得税费用(万元),18622,6691,1273,14995,14349,7019,3255,5205,8727,6275,2706,7142,3182,-322,122,9202,13681,3589,133,-11042,585,10069,6648,22625,18116,9444,3732,30544,24069,14731,7134,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,--,--,--,--,
净利润(万元),108270,55448,12018,81115,75480,40818,14645,27819,34546,24804,11954,54335,36911,13501,3815,54565,61633,26734,-594,-6540,10899,28177,25208,71496,49488,26721,9987,83317,62419,36940,17057,
归属于母公司所有者的净利润(万元),103554,53852,11087,79728,74690,40213,14095,27689,33681,22985,10365,53113,36288,13984,3827,48520,56488,24118,-714,2705,17407,30253,23895,66321,45322,24898,9647,75297,56269,32943,15461,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),4716,1596,931,1387,790,605,550,131,864,1819,1589,1222,624,-483,-12,6045,5145,2616,120,-9244,-6508,-2075,1314,5175,4166,1823,340,8020,6150,3997,1595,
基本每股收益,0.52,0.27,0.06,0.4,0.37,0.2,0.07,0.14,0.17,0.11,0.05,0.26,0.18,0.07,0.02,0.24,0.28,0.12,-0,0.01,0.09,0.15,0.12,0.33,0.23,0.12,0.05,0.37,0.28,0.16,0.08,
稀释每股收益,0.52,0.27,0.06,0.4,0.37,0.2,0.07,0.14,0.17,0.11,0.05,0.26,0.18,0.07,0.02,0.24,0.28,0.12,-0,0.01,0.09,0,0.12,0.33,--,--,0,0.37,--,--,--,
