报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2010-03-31,2009-12-31,2009-06-30,
退保金(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
赔付支出净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
提取保险合同准备金净额(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
保单红利支出(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
分保费用(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,257,--,--,--,--,--,--,--,0,0,--,--,--,--,
营业税金及附加(万元),11,37,12,7,4,37,21,16,2,38,17,10,9,197,--,--,0,23,0,0,--,40,0,0,33,4,--,11,--,0,0,--,--,--,--,
销售费用(万元),--,4,5,3,2,7,5,3,2,0,--,0,0,--,--,--,0,0,0,0,--,13,13,13,9,1,--,--,--,0,0,--,--,--,--,
管理费用(万元),65,377,296,185,79,679,565,373,129,586,535,314,112,193,114,98,46,155,144,89,56,295,349,215,252,86,31,161,86,43,124,46,21,96,58,
财务费用(万元),0,45,6,-15,-7,-19,-0,-0,-0,7,5,3,2,119,0,1,0,71,27,27,0,25,0,0,46,0,0,18,8,2,113,57,28,113,57,
资产减值损失(万元),--,88,203,--,--,472,-11,--,--,198,--,--,--,36,--,--,0,-23,0,--,--,2,0,--,26,--,--,6,--,0,0,--,--,--,--,
公允价值变动收益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,0,0,--,--,--,--,
投资收益(万元),--,10,4,4,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,0,--,--,0,0,--,0,--,--,
对联营企业和合营企业的投资收益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
汇兑收益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,50,0,0,--,0,--,--,
营业利润(万元),-16,718,260,135,82,1270,383,144,95,3308,631,-100,32,2959,-114,-98,-46,179,-171,-115,-56,89,-344,-210,168,-18,1,4,-44,5,-237,-103,--,-209,-114,
营业外收入(万元),63,221,0,0,0,3,11,0,0,0,386,386,--,0,100,0,0,0,3,--,--,0,0,--,85,19,--,169,97,0,975,898,--,253,--,
营业外支出(万元),--,268,44,1,0,131,30,20,20,31,20,10,10,1,2,2,2,5,5,0,--,21,0,0,3,1,--,21,10,0,0,--,--,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,0,0,--,--,--,--,
利润总额(万元),46,671,217,135,82,1143,364,124,75,3278,997,276,22,2959,-17,-101,-49,174,-173,-116,-56,69,-344,-210,251,0,3,152,43,5,738,796,-50,44,-114,
所得税费用(万元),--,140,37,37,22,314,97,35,20,830,249,69,5,725,--,--,0,44,0,--,--,3,0,--,62,--,0,--,--,0,0,--,0,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
净利润(万元),46,531,180,98,60,829,266,89,55,2448,748,207,16,2234,-17,-101,-49,130,-173,-116,-56,66,-344,-210,188,0,3,152,43,5,738,796,-50,44,-114,
归属于母公司所有者的净利润(万元),46,531,180,98,60,829,266,89,55,2448,748,207,16,2234,-17,-101,-49,130,-173,-116,-56,66,-344,-210,188,0,3,152,43,5,738,796,-50,44,-114,
被合并方在合并前实现净利润(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
少数股东损益(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,
基本每股收益,0,0.02,0,0,0,0.03,--,0,0,0.1,0.03,0.01,0,0.09,-0,-0,-0,0.01,-0.01,-0.01,-0,0,-0.01,-0.01,0.01,--,--,0.01,--,0,0.03,--,--,0,-0,
稀释每股收益,0,0.02,0,0,0,0.03,--,0,0,0.1,0.03,0.01,0,0.09,-0,-0,-0,0.01,-0.01,-0.01,-0,0,-0.01,-0.01,0.01,--,--,0.01,--,0,0.03,--,--,0,--,
