报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
托管收益(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
补贴收入(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
其他业务利润(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
营业利润(万元),17000,12561,4012,20144,12616,9045,2856,16724,8118,6787,1123,12523,6116,5286,963,9814,6960,5220,1463,9494,6561,4395,1187,
营业外收入(万元),523,368,273,1279,447,397,34,1187,761,748,447,489,361,240,176,339,288,155,31,371,282,164,28,
营业外支出(万元),84,41,32,169,16,14,2,269,75,53,42,284,223,21,5,196,98,39,29,1112,1075,174,26,
非流动资产处置损失(万元),56,36,31,165,3,3,0,88,70,47,2,181,63,--,--,129,0,0,0,1005,--,0,--,
利润总额(万元),17439,12888,4253,21255,13047,9428,2888,17642,8804,7482,1528,12728,6254,5505,1134,9957,7149,5336,1466,8753,5768,4385,1188,
所得税费用(万元),4333,3517,995,3557,2519,1701,460,5235,1735,1777,396,3127,1285,958,200,1107,760,483,176,1200,560,519,152,
未确认投资损失(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,
净利润(万元),13106,9371,3258,17698,10529,7727,2428,12407,7069,5705,1133,9601,4969,4547,934,8850,6390,4853,1289,7553,5208,3866,1036,
归属于母公司所有者的净利润(万元),13021,9316,3195,17441,10410,7616,2522,12139,7396,5814,1194,9886,4984,4509,987,8689,6225,4688,1235,7178,5045,3773,974,
被合并方在合并前实现净利润(万元),--,--,--,--,--,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),85,55,63,257,119,111,-94,268,-327,-109,-61,-285,-15,38,-53,161,165,165,55,375,163,93,62,
基本每股收益,0.32,0.23,0.08,0.43,0.26,0.19,0.06,0.3,0.18,0.14,0.03,0.24,0.12,0.11,0.02,0.21,0.15,0.12,0.03,0.18,0.12,0.09,0.02,
稀释每股收益,0.32,0.23,0.08,0.43,0.26,0.19,0.06,0.3,0.18,0.14,0.03,0.24,0.12,0.11,0.02,0.21,0.15,0.12,0.03,0.18,--,0.09,0.02,
