报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,
销售费用(万元),56158,33426,15403,88776,46853,28194,10892,77061,46339,27202,12126,72928,40398,23146,10956,49280,28600,15995,7142,28530,16362,11215,5522,28533,17364,11460,4803,22672,12823,7045,2833,7621,4142,2525,1238,7789,3590,2405,994,5384,
管理费用(万元),40630,27249,14290,54719,37259,23166,12661,55589,35790,23271,10578,43935,29760,17474,8036,36289,22676,14309,6839,23732,15564,10118,5088,20854,14154,9082,3841,20322,11051,7416,3634,16077,8125,5427,2102,11951,7196,4959,1864,9504,
财务费用(万元),115514,45574,21766,81920,49584,32610,21683,61446,16008,7335,6255,39415,26118,16767,5259,-16859,-2679,-7228,2023,9301,-279,305,-150,-1536,3258,3452,-1528,3091,4498,3492,1058,1060,1292,1589,1076,1073,724,-201,-146,-227,
资产减值损失(万元),-78,-122,-90,54076,84,89,36,-35377,-17206,-17237,-52,28846,20680,20686,1,325,0,-0,0,585,1,-0,0,48,-11,-11,1,40765,0,1,1,-468,-490,-490,-20,108,-16,-32,-6,136,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,158,158,158,-556,1839,896,1588,-79,-1414,-86,2992,1563,-10366,-11512,-10837,-7601,14547,10899,-198,-7653,-5059,-1843,112,-92,-266,-400,644,745,429,
投资收益(万元),54288,49311,1518,32504,21572,14332,11944,56927,30562,28218,231,557,220,2488,503,5334,5829,5126,2004,6531,3856,2545,392,30457,25779,18875,7967,80282,1455,-2729,-170,20106,10146,8977,-143,9293,1818,907,-149,1931,
对联营企业和合营企业的投资收益(万元),7942,4224,1518,33054,21572,14332,9400,31081,35963,33619,150,274,202,385,176,2955,3891,4561,1543,530,-497,-59,-24,17673,17912,10988,3729,17681,3227,-546,-166,14379,11134,10335,-183,7185,90,157,-115,-60,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,0,
营业利润(万元),384321,346904,115089,830841,432561,334480,160805,792721,665046,473809,174648,623436,441892,250424,84071,438951,368564,240575,76838,326454,236973,182986,61534,227464,119355,60757,20506,129021,48032,30538,6424,132721,58826,51067,6993,75585,29919,17699,7935,54785,
营业外收入(万元),4438,2736,1626,6681,6083,3550,629,6941,3989,1177,2643,2484,1664,645,87,10877,392,336,245,1800,1282,891,561,2952,2213,1788,1261,2417,1905,1284,759,12997,2998,2034,877,3725,3005,1818,834,3488,
营业外支出(万元),2406,1735,598,4917,2915,2173,692,2945,2182,1539,255,5970,1795,1007,175,643,450,265,85,1042,819,510,224,3043,139,136,50,1252,287,206,18,274,222,32,41,226,93,56,14,461,
非流动资产处置损失(万元),11,1,1,45,22,18,2,218,95,91,15,148,35,35,30,58,53,44,4,39,40,28,7,63,31,32,19,--,-1,3,10,153,132,1,-5,20,8,2,--,32,
利润总额(万元),386353,347905,116117,832604,435728,335857,160742,796718,666854,473448,177035,619950,441761,250063,83984,449185,368506,240646,76999,327212,237437,183367,61870,227373,121429,62409,21717,130186,49650,31615,7165,145444,61602,53068,7829,79084,32831,19461,8754,57812,
所得税费用(万元),135596,109090,42114,281619,129664,96450,50151,245887,200271,147659,48086,192198,133772,79240,27026,117889,94682,58673,20755,78814,58567,43474,13686,51926,26961,14205,4849,20986,11515,9846,3888,25931,11411,9463,1328,12793,5839,2873,1234,10432,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,0,--,--,0,
净利润(万元),250757,238815,74002,550985,306064,239407,110591,550831,466583,325789,128949,427752,307989,170823,56958,331295,273824,181973,56244,248399,178869,139893,48184,175447,94468,48204,16868,109200,38135,21769,3276,119513,50191,43605,6501,66291,26992,16588,7520,47380,
归属于母公司所有者的净利润(万元),221901,214550,65319,426364,224067,178543,75543,420215,360523,255063,81070,331827,241872,122053,42943,259178,208453,146859,56157,201140,142687,105018,38490,164414,96092,48685,17058,122762,38866,21873,3696,115788,48012,41725,6383,63142,26204,16114,7343,45070,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,
少数股东损益(万元),28856,24264,8684,124621,81997,60864,35048,130616,106060,70726,47879,95925,66117,48770,14015,72117,65371,35114,87,47259,36182,34875,9694,11032,-1625,-481,-190,-13562,-731,-103,-420,3725,2179,1881,118,3150,788,474,177,2310,
基本每股收益,0.86,0.83,0.25,1.66,0.87,0.69,0.44,2.45,2.1,1.49,0.47,1.93,1.41,0.71,0.25,1.51,1.21,0.86,0.33,1.17,0.83,0.61,0.22,0.96,0.56,0.28,0.1,0.94,0.35,0.21,0.04,1.62,0.7,0.64,0.1,1.02,0.42,0.26,0.12,0.73,
稀释每股收益,0.86,0.83,0.25,1.66,0.87,0.69,0.44,2.45,2.1,1.49,0.47,1.93,1.41,0.71,0.25,1.51,1.21,0.86,0.33,1.17,0.83,0.61,0.22,0.96,0.56,0.28,0.1,0.94,0.35,0.21,0.04,1.52,0.7,0.64,0.1,0.96,0.41,0.26,0.12,0.73,
