报告日期,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1812,553,386,173,2684,1928,1531,495,1756,704,436,187,1082,505,232,59,735,503,325,109,661,288,142,61,322,174,116,5,333,190,126,48,235,140,91,16,398,137,90,16,-19,15,82,57,
销售费用(万元),13260,9256,6271,2728,13972,7834,4830,2619,13765,8109,5366,3168,12883,8314,5599,2241,9886,6432,4147,1934,8058,4677,2806,1241,6036,3733,2317,939,4913,2867,1823,887,5424,3216,1907,931,5270,3136,2181,1064,5724,3980,2828,1494,
管理费用(万元),28340,16738,10635,5228,23609,14136,9099,4614,19914,11420,6880,2880,15365,9022,5823,2295,13493,7774,4716,2311,9122,5978,4056,1828,7877,5024,3412,2043,8437,4714,2791,1158,7999,4166,2380,1221,5413,4368,2929,1415,6975,5159,3638,1792,
财务费用(万元),-502,255,166,104,722,-310,-132,-128,52,-42,46,65,52,51,54,73,397,407,272,39,-421,-256,-203,-129,-536,-437,-276,-156,-238,-93,-84,-58,188,157,147,197,843,492,272,85,707,570,411,217,
资产减值损失(万元),1716,1686,1368,765,2481,1814,1212,494,1670,2012,1539,638,2888,2680,2024,875,951,1947,1454,659,1863,1498,1177,467,3895,1513,1221,186,6093,933,1080,130,4893,5736,5215,143,597,1177,566,163,935,278,276,345,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--,0,
投资收益(万元),6542,6094,6020,850,3840,2353,2170,--,2764,2764,1543,52,3020,2886,1722,81,948,1065,945,42,870,1001,1083,-107,2983,1316,2376,281,30640,1631,-428,-386,1451,2177,3032,2803,1649,976,1191,236,1840,2519,886,664,
对联营企业和合营企业的投资收益(万元),-386,-163,-112,--,-181,--,--,--,--,--,--,--,417,1312,224,75,-398,-515,-615,-135,-231,-99,-18,-107,-1453,-1022,37,142,-604,-356,-428,-386,-1799,2177,3032,2803,1936,976,--,236,1840,2519,--,664,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,0,--,--,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
营业利润(万元),10292,7006,5504,81,8368,3654,3423,-473,3427,3313,52,-1782,5884,4184,-267,-1256,2753,2727,1401,-1254,4449,3031,1918,-569,6278,2990,2277,-824,25907,985,-598,-1028,-1448,-822,278,3129,6589,1659,1478,250,1503,1966,633,49,
营业外收入(万元),7706,3571,982,369,9204,5021,2157,649,8169,3531,3005,1863,4590,2866,1962,1528,6605,4345,829,781,996,319,186,159,1809,685,430,33,4081,3270,3054,52,10471,9540,6544,2623,2346,3057,74,37,980,414,315,242,
营业外支出(万元),368,41,21,6,1675,529,30,4,53,41,28,0,237,436,332,331,328,250,37,19,95,92,47,40,2996,23,18,8,1850,134,100,78,363,209,185,89,1778,64,32,31,158,56,38,1,
非流动资产处置损失(万元),93,20,18,5,24,4,1,1,8,8,0,0,9,2,2,2,59,55,4,4,26,10,9,8,11,11,8,8,357,10,4,--,58,11,8,6,14,2,1,0,80,11,5,0,
利润总额(万元),17630,10537,6466,445,15897,8146,5551,173,11543,6803,3029,80,10237,6614,1364,-59,9030,6822,2194,-492,5350,3257,2057,-450,5092,3652,2689,-799,28138,4121,2357,-1054,8660,8509,6637,5664,7157,4653,1520,256,2326,2325,910,290,
所得税费用(万元),1530,1549,937,186,1592,618,532,10,1734,882,690,58,1485,828,558,12,888,423,123,-21,1164,840,528,30,1185,618,272,45,5877,270,218,53,1969,424,345,166,674,-205,130,140,517,595,6,113,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,0,--,--,--,--,--,--,--,--,
净利润(万元),16100,8988,5529,258,14304,7528,5019,162,9809,5922,2339,22,8752,5786,806,-70,8142,6399,2072,-471,4186,2417,1529,-480,3906,3035,2417,-844,22261,3851,2139,-1107,6690,8085,6292,5497,6483,4858,1390,115,1809,1730,904,178,
归属于母公司所有者的净利润(万元),15225,9187,5951,384,13389,6615,4010,-254,9082,6411,2815,401,9506,6365,1283,205,6724,4871,2106,-466,4333,2698,1690,-468,3484,2673,2207,-808,22984,3314,1657,-1106,6348,7435,6197,5332,5633,4588,1320,87,1359,1549,732,71,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),875,-199,-422,-126,915,913,1009,416,727,-489,-476,-378,-754,-579,-477,-275,1419,1528,-34,-5,-147,-281,-161,-12,422,362,209,-36,-722,538,482,-1,343,650,96,165,850,269,70,29,451,180,172,107,
基本每股收益,0.19,0.11,0.07,0,0.16,0.08,0.05,-0.01,0.24,0.17,0.07,0.01,0.25,0.17,0.03,0.01,0.18,0.13,0.06,-0.01,0.12,0.07,0.05,-0.01,0.09,0.07,0.06,-0.02,0.61,0.09,0.04,-0.03,0.17,0.2,0.17,0.21,0.23,0.18,0.05,0,0.05,0.06,0.03,0,
稀释每股收益,0.19,0.11,0.07,0,0.16,0.08,0.05,-0.01,0.24,0.17,0.07,0.01,0.25,0.17,0.03,0.01,0.18,0.13,0.06,-0.01,0.12,0.07,0.05,-0.01,0.09,0.07,0.06,-0.02,0.61,0.09,0.04,-0.03,0.17,0.2,0.17,0.21,--,0.18,0.05,0,--,0.06,0.03,0,
