报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
营业利润(万元),-6506,3840,42709,104462,23203,32297,61493,96307,8968,14566,54566,98875,26494,27876,57305,77910,24797,16950,20625,35254,-2597,4013,27399,46203,4067,3669,64125,86614,22427,7922,99395,104315,46240,21609,82369,71613,27068,12284,26176,24522,3649,2476,7576,6143,8433,7055,7663,5056,-10712,-6694,3119,-664,-13724,-6464,
营业外收入(万元),2159,760,3838,3718,2989,922,3857,3093,2041,3986,16872,13624,11570,4929,13976,8546,5315,1194,20719,11837,9242,3906,27041,20560,8713,4705,14719,7816,3935,831,5561,2860,1782,1223,2901,1379,644,366,15512,12157,11577,5678,4389,106,72,35,1136,95,58,21,1287,1287,233,50,
营业外支出(万元),152,46,396,371,82,21,258,183,95,48,500,343,258,54,180,123,101,72,1508,499,377,33,1345,1284,563,118,739,1221,924,375,1855,1341,834,252,815,499,298,64,1352,337,218,138,1139,730,649,178,3045,657,64,37,64,43,25,16,
非流动资产处置损失(万元),--,--,--,--,--,--,--,106,84,38,346,282,199,19,140,109,93,68,1451,449,369,26,986,929,212,114,691,1174,919,374,1732,1259,767,249,771,462,286,54,1350,332,217,137,1092,716,0,132,2174,657,45,0,28,32,22,0,
利润总额(万元),-4500,4553,46151,107810,26110,33198,65092,99217,10914,18505,70937,112156,37806,32751,71101,86333,30011,18072,39837,46593,6267,7886,53095,65479,12218,8256,78105,93208,25438,8378,103102,105835,47189,22580,84454,72493,27413,12586,40336,36342,15007,8016,10826,5519,7857,6911,5755,4494,-10718,-6709,4342,580,-13516,-6430,
所得税费用(万元),-1763,1147,11413,26149,5737,8306,16057,23991,1904,4634,17654,27679,9437,8241,17875,22315,8331,4510,11051,11883,1594,1963,14187,16953,3982,2056,19124,23270,6336,2092,26024,26271,11833,5645,20997,18117,6849,3144,10062,9064,3739,2086,2662,1351,1948,1724,1956,-2202,-1750,-847,3308,-3449,-2067,-344,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,0,0,--,--,0,0,--,
净利润(万元),-2736,3406,34738,81661,20373,24893,49035,75225,9009,13871,53283,84477,28369,24510,53226,64019,21681,13562,28785,34709,4673,5923,38908,48526,8237,6200,58981,69938,19102,6285,77077,79563,35355,16935,63458,54376,20564,9441,30274,27278,11268,5930,8164,4168,5908,5188,3799,6697,-8968,-5862,1034,4030,-11450,-6086,
归属于母公司所有者的净利润(万元),-2736,3406,34738,81661,20373,24893,49035,75225,9009,13871,53283,84477,28369,24510,53226,64019,21681,13562,28785,34709,4673,5923,38908,48526,8237,6200,58981,69938,19102,6285,77123,79614,35419,16945,63436,54359,20557,9439,30228,27247,11251,5920,8098,4105,5864,5167,3726,6642,-8997,-5876,888,3953,-11493,-6100,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,-45,-51,-63,-10,21,17,7,2,46,32,17,10,66,63,45,20,73,54,29,13,146,77,43,14,
基本每股收益,-0.07,0.09,0.87,2.04,0.51,0.62,1.23,1.88,0.23,0.35,1.33,2.11,0.71,0.61,1.33,1.6,0.54,0.34,0.72,0.87,0.12,0.15,0.97,1.21,0.21,0.16,1.47,1.75,0.48,0.16,1.93,1.99,0.89,0.42,1.59,1.36,0.51,0.24,0.76,0.68,0.28,0.15,0.2,0.1,0.15,0.13,0.09,0.17,-0.23,-0.15,0.02,0.1,-0.29,-0.15,
稀释每股收益,-0.07,0.09,0.87,2.04,0.51,0.62,1.23,1.88,0.23,0.35,1.33,2.11,0.71,0.61,1.33,1.6,0.54,0.34,0.72,0.87,0.12,0.15,0.97,1.21,0.21,0.16,1.47,1.75,0.48,0.16,1.93,1.99,0.89,0.42,1.59,1.36,0.51,0.24,0.76,0.68,0.28,0.15,0.2,0.1,0.15,0.13,0.09,0.17,-0.23,-0.15,0.02,0.1,-0.29,-0.15,
