报告日期,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,
营业外收入(万元),26,120,2,56,2,67,9,13,5,641,46,1045,36,5073,1,841,--,41,12,2658,26,43,
营业外支出(万元),0,144,0,141,--,136,2,138,3,138,--,192,40,228,16,405,192,640,1,28119,--,1165,
非流动资产处置损失(万元),--,--,--,--,--,1,1,1,--,--,--,0,--,19,--,1,--,--,--,7,--,1,
利润总额(万元),-363,-5974,-256,1393,-398,-7149,-306,-3861,-448,-602,-456,-627,-500,4432,-383,-666,-728,-889,-207,-40069,-508,-1960,
所得税费用(万元),37,54,31,68,22,37,25,105,21,97,38,5,5,1,-2,4,2,0,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-400,-6027,-287,1326,-420,-7186,-332,-3965,-469,-699,-494,-632,-505,4432,-382,-670,-730,-889,-207,-40069,-508,-1960,
归属于母公司所有者的净利润(万元),-400,-6027,-287,1326,-420,-7186,-332,-3965,-469,-699,-494,-632,-505,4432,-382,-670,-730,-889,-207,-40069,-508,-1960,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,-0.02,-0.37,-0.02,0.08,-0.03,-0.44,-0.02,-0.24,-0.03,-0.04,-0.03,-0.04,-0.03,0.27,-0.02,-0.04,-0.04,-0.05,-0.01,-2.44,-0.03,-0.12,
稀释每股收益,-0.02,-0.37,-0.02,0.08,-0.03,-0.44,-0.02,-0.24,-0.03,-0.04,-0.03,-0.04,-0.03,0.27,-0.02,-0.04,-0.04,-0.05,-0.01,-2.44,-0.03,-0.12,
