报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
营业利润(万元),113413,100631,11786,160582,22278,38950,6705,211380,75976,53590,5784,180344,82681,61161,-7012,153467,36072,43101,1949,89683,18721,22015,5361,70231,27563,31916,17489,59800,21697,17242,179,67730,13553,8997,2595,45251,28936,20252,2826,
营业外收入(万元),8280,893,385,1490,1013,667,402,10000,925,564,182,1512,908,730,537,5139,1455,1338,665,2166,937,801,656,3095,344,152,40,1134,630,604,377,359,304,193,74,959,710,577,336,
营业外支出(万元),345,282,144,727,548,434,220,895,520,411,104,631,437,214,51,1264,773,339,110,1337,1160,402,136,677,497,351,123,5066,1128,883,60,286,202,35,31,227,152,81,46,
非流动资产处置损失(万元),16,6,3,-22,61,58,8,49,39,24,0,7,2,2,0,94,16,16,--,80,55,25,--,25,--,0,0,--,--,0,--,--,--,--,0,--,--,--,0,
利润总额(万元),121349,101242,12027,161344,22744,39183,6888,220486,76381,53743,5862,181225,83152,61677,-6527,157341,36753,44100,2504,90512,18499,22414,5881,72649,27410,31717,17406,55869,21199,16963,496,67803,13655,9155,2639,45984,29493,20747,3116,
所得税费用(万元),26084,22745,1843,40994,6452,10193,1741,56794,18701,12888,934,46517,21133,15475,-1526,40511,9900,11236,597,23187,4858,5290,1470,21016,8398,9431,4196,15411,5104,4122,187,23658,5464,2702,1008,15661,9942,6648,916,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,--,--,0,--,--,--,--,0,--,--,--,--,
净利润(万元),95265,78497,10184,120350,16292,28990,5146,163691,57680,40855,4928,134708,62019,46202,-5000,116831,26854,32863,1907,67325,13641,17125,4411,51633,19011,22286,13210,40458,16095,12841,309,44145,8191,6453,1631,30323,19552,14099,2200,
归属于母公司所有者的净利润(万元),88314,73046,9815,116671,16002,27974,5421,160947,56263,40245,5069,131577,60153,44623,-4947,112580,25717,31404,1636,64637,11825,16297,4173,48937,17826,21219,12674,38837,15452,12329,265,42940,8203,6423,1551,29388,19036,13754,2134,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
少数股东损益(万元),6951,5451,369,3679,290,1016,-275,2744,1417,609,-141,3131,1866,1579,-54,4251,1136,1459,271,2688,1816,828,238,2695,1185,1066,536,1620,643,512,44,1206,-12,30,80,935,515,346,66,
基本每股收益,0.55,0.46,0.06,0.73,0.1,0.18,0.03,1.01,0.35,0.25,0.03,0.83,0.38,0.28,-0.03,0.71,0.16,0.2,0.02,0.61,0.11,0.15,0.04,0.46,0.17,0.2,0.12,0.37,0.15,0.12,0.01,0.81,0.15,0.12,0.05,0.55,0.36,0.26,0.06,
稀释每股收益,0.55,0.46,0.06,0.73,0.1,0.18,0.03,1.01,0.35,0.25,0.03,0.83,0.38,0.28,-0.03,0.71,0.16,0.2,0.02,0.61,0.11,0.15,0.04,0.46,--,0.2,0.12,0.37,--,0.12,--,0.81,--,--,0,0.55,--,--,0,
