报告日期,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),588,293,1177,1124,717,304,1232,531,243,83,100,22,17,--,16027,5395,4228,1742,5943,4621,4146,1968,6828,4141,2451,1051,5585,3582,1802,5637,5309,3249,1365,4722,3734,2808,775,64,5,3,2,1009,1008,507,306,305,255,
销售费用(万元),287,131,270,169,117,62,876,557,367,97,709,489,321,111,110,90,56,29,284,181,120,45,261,110,67,29,472,403,316,472,257,154,87,586,260,173,82,214,125,73,15,152,104,41,95,73,43,
管理费用(万元),2846,1506,6850,4505,2810,1272,6178,3649,2428,1227,26324,4525,2975,1596,6218,2843,1569,761,4063,2650,1563,801,3502,2049,995,687,3559,2420,1519,3774,2573,1547,784,3772,2409,1508,701,5852,2728,1818,915,3914,2280,630,3755,2424,1368,
财务费用(万元),3422,2049,5485,3733,2449,1210,9310,6355,5152,2551,10871,7128,4111,1712,6560,3229,2165,1044,3677,2528,1966,1059,3380,1741,856,491,2346,1503,977,860,476,10,-0,-1,-0,-0,-0,0,0,0,0,321,215,75,461,304,141,
资产减值损失(万元),91,-0,274,-40,-40,-0,-7790,--,--,--,15170,5390,5414,5330,1381,-1459,-900,--,5276,-596,--,--,-1422,-1432,-1432,--,-1802,--,--,-2357,-0,-0,--,2068,2370,1843,--,1618,264,264,--,-4644,-4627,-532,--,--,-922,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
投资收益(万元),-8,--,5,--,--,--,9,--,--,--,132,--,--,--,-98,75,--,--,70,--,--,--,55,--,--,--,1685,--,--,14,--,--,--,--,--,--,--,105,--,--,--,103,109,111,-153,-237,-132,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,132,--,--,--,-98,--,--,--,70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-5063,-2885,-2002,-41,1421,164,-12027,-3630,-4574,-2507,-48022,-14377,-10478,-7915,-31184,-4361,444,230,-12603,-2494,-1989,-815,654,-2398,-1571,-1312,-76,-5613,-1777,930,-2384,390,328,2319,899,461,1506,-6348,-2894,-1998,-875,452,2173,240,-5767,-4434,-1863,
营业外收入(万元),8122,8104,374,998,998,200,596,366,9,3,2150,1189,1170,11700,1023,869,59,--,1379,1249,749,749,1814,0,0,--,842,1,1,2756,2638,280,276,308,276,--,--,0,0,0,0,801,801,0,0,0,0,
营业外支出(万元),3,3,88,327,325,0,182,3129,9,7,11447,33,20,17,749,63,37,3,87,27,12,4,28,4,0,--,14,6,5,97,8,8,0,28,20,23,0,3,2,--,--,5,5,0,121,121,3,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,7,--,--,--,627,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,--,--,--,
利润总额(万元),3056,5216,-1716,630,2095,364,-11613,-6393,-4574,-2511,-57318,-13221,-9328,-6762,-30909,-3554,466,227,-11311,-1271,-1252,-70,2440,-2402,-1572,-1312,753,-5618,-1781,3590,245,662,604,2598,1155,438,1506,-6351,-2896,-1997,-875,1247,2969,240,-5888,-4555,-1865,
所得税费用(万元),1641,--,-619,2,2,--,-2832,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1415,5216,-1097,628,2093,364,-8781,-6393,-4574,-2511,-57318,-13221,-9328,-6762,-30909,-3554,466,227,-11311,-1271,-1252,-70,2440,-2402,-1572,-1312,753,-5618,-1781,3590,245,662,604,2598,1155,438,1506,-6351,-2896,-1997,-875,1247,2969,240,-5888,-4555,-1865,
归属于母公司所有者的净利润(万元),1415,5216,-1097,628,2093,364,-8781,-6269,-4462,-2443,-56505,-13186,-9395,-6930,-30408,-3389,499,234,-10999,-1074,-1016,-1,2660,-2394,-1565,-1310,791,-5559,-1724,3659,246,678,616,2737,1155,438,1506,-6350,-2895,-1997,-875,1320,3040,268,-5788,-4490,-1818,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,-124,-112,-68,-813,-34,67,167,-501,-165,-33,-7,-313,-197,-236,-69,-219,-8,-7,-2,-38,-58,-57,-69,-0,-15,-12,-139,-0,-0,-0,-1,-1,-0,-0,-73,-71,-29,-100,-65,-48,
基本每股收益,0.02,0.08,-0.02,0.01,0.03,0.01,-0.18,-0.1,-0.07,-0.1,-2.37,-0.55,-0.39,-0.29,-1.28,-0.14,0.02,0.01,-0.46,-0.05,-0.04,-0,0.11,-0.1,-0.07,-0.06,0.03,-0.23,-0.07,0.15,0.01,0.03,0.03,0.12,0.05,0.02,0.06,-0.27,-0.12,-0.08,-0.04,0.06,0.13,0.01,-0.3,-0.23,-0.09,
稀释每股收益,0.02,0.08,-0.02,0.01,0.03,0.01,-0.18,-0.1,-0.07,-0.1,-2.37,-0.55,-0.39,-0.29,-1.28,-0.14,0.02,0.01,-0.46,-0.05,-0.04,-0,0.11,-0.1,-0.07,-0.06,0.03,-0.23,-0.07,0.15,0.01,0.03,0.03,0.12,0.05,0.02,0.06,-0.27,-0.12,-0.08,-0.04,0.06,0.13,0.01,-0.3,-0.23,-0.09,
