报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
非流动资产处置损失(万元),--,--,--,--,--,--,--,117,0,0,--,11,6,2,--,91,8,--,--,27,1,0,0,8,1,--,--,0,0,0,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
利润总额(万元),-778,-349,89,989,742,394,304,7143,-1527,-1053,-582,-44953,-1829,-1548,-580,349,-734,-292,-487,-2279,-885,-681,-348,265,-455,-405,-338,398,-1135,-722,-366,-2404,-1146,-788,-352,584,434,-264,-8,160,-641,-432,-186,-13888,165,136,91,
所得税费用(万元),--,--,--,430,229,193,134,172,--,--,--,--,--,--,--,--,--,0,--,268,--,0,--,-17,--,--,--,-19,--,--,--,0,--,0,--,232,111,111,111,-30,0,--,0,-104,25,20,14,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,--,--,0,--,--,
净利润(万元),-778,-349,89,559,514,201,170,6971,-1527,-1053,-582,-44953,-1829,-1548,-580,349,-734,-292,-487,-2547,-885,-681,-348,282,-455,-405,-338,417,-1135,-722,-366,-2404,-1146,-788,-352,353,324,-375,-119,189,-641,-432,-186,-13784,140,115,78,
归属于母公司所有者的净利润(万元),-743,-319,105,561,514,201,170,6971,-1527,-1053,-582,-44953,-1829,-1548,-580,349,-734,-292,-487,-2547,-885,-681,-348,282,-455,-405,-338,417,-1135,-722,-366,-2404,-1146,-788,-352,353,324,-375,-119,189,-641,-432,-186,-13784,140,115,78,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-36,-31,-17,-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,--,0,--,0,--,0,
基本每股收益,-0.02,-0.01,0,0.01,0.01,0,0.01,0.21,-0.05,-0.03,-0.02,-1.36,-0.06,-0.05,-0.02,0.01,-0.02,-0.01,-0.01,-0.08,-0.03,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.03,-0.02,-0.01,-0.07,-0.03,-0.02,-0.01,0.01,0.01,-0.01,-0,0.01,-0.02,-0.01,0,-0.42,0,0,0,
稀释每股收益,-0.02,-0.01,0,0.01,0.01,0,0.01,0.21,-0.05,-0.03,-0.02,-1.36,-0.06,-0.05,-0.02,0.01,-0.02,-0.01,-0.01,-0.08,-0.03,-0.02,-0.01,0.01,-0.01,-0.01,-0.01,0.01,-0.03,-0.02,-0.01,-0.07,-0.03,-0.02,-0.01,0.01,0.01,-0.01,-0,0.01,-0.02,-0.01,0,-0.42,0,0,0,
