报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
管理费用(万元),4203,14302,9019,5803,2795,11661,9112,5535,2526,9553,6409,4234,2117,9523,6108,3972,1878,8886,5728,3543,1660,6580,4672,3192,1606,6103,4694,2987,1471,5998,3952,2664,1383,5554,3642,2324,1176,5942,4337,2883,1263,4330,2806,1721,852,3111,1656,1115,474,
财务费用(万元),4852,21254,14825,9023,4148,18175,13239,8636,4315,16512,12078,7822,3682,14628,9695,6350,3028,14206,10628,7075,3302,11907,8127,5135,2592,7188,5041,3188,1535,5453,3503,2397,1196,4097,3068,1825,864,4353,3380,2118,922,2091,1162,747,440,857,499,202,60,
资产减值损失(万元),-0,140,-1,-1,-1,-10,4,2,1,98,--,--,--,-2,--,--,--,7,--,--,--,36,--,--,--,-1,--,--,--,-7,--,--,--,20,0,--,--,6,--,--,--,-22,--,0,0,45,--,0,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,--,0,--,
投资收益(万元),-1270,-1100,279,1703,567,3379,2311,1496,605,7511,5598,3616,1739,9389,6119,3807,1966,9547,5707,3493,1287,7711,4561,2568,1330,2246,1351,986,328,3465,2098,1266,572,3700,2279,1033,351,579,-195,-717,339,4130,2974,2769,1431,7812,5720,3823,1769,
对联营企业和合营企业的投资收益(万元),-1282,-1100,279,1703,567,3250,2182,1376,502,5897,4431,3063,1590,6171,4025,2550,1340,6262,3790,2439,981,5889,3463,1789,688,2246,1351,986,328,3465,2098,1266,572,3700,2279,1033,351,563,-211,-727,327,4118,2974,2769,1431,7812,5720,3823,1769,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,0,0,--,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
营业利润(万元),319,-1299,2554,3655,1290,6602,5388,4123,1989,12879,10213,6110,2959,27871,23163,15059,6369,27267,19417,12533,5426,19651,15402,8569,3564,14406,9987,6607,2585,15188,11772,7406,3698,12295,9061,5964,2873,7908,5173,2902,2416,12172,9850,7339,3762,14931,12339,7905,3797,
营业外收入(万元),298,328,407,277,116,929,489,270,131,1364,570,501,251,1187,672,596,349,557,325,261,222,515,315,45,0,465,128,92,34,366,241,165,12,345,158,11,5,103,7,2,2,52,30,20,1,20,17,17,0,
营业外支出(万元),44,77,42,34,2,295,220,85,8,152,31,11,9,-1,-7,-12,-16,39,6,1,1,14,4,3,2,62,31,12,0,121,9,8,8,251,190,15,10,208,129,98,0,91,16,3,3,50,35,30,26,
非流动资产处置损失(万元),--,--,1,0,0,204,134,4,0,39,20,1,0,5,1,1,0,13,0,--,--,10,0,0,--,17,6,1,--,30,2,2,2,221,164,1,--,105,46,26,0,9,8,0,0,26,29,0,--,
利润总额(万元),573,-1047,2919,3898,1404,7237,5657,4308,2113,14090,10753,6600,3201,29059,23842,15667,6734,27785,19735,12792,5648,20152,15714,8611,3562,14809,10084,6687,2619,15433,12004,7564,3702,12390,9029,5961,2867,7803,5051,2807,2417,12133,9865,7356,3760,14901,12321,7892,3771,
所得税费用(万元),1218,3234,2695,1852,912,5132,1660,1209,675,3023,2204,1353,488,5173,3952,2270,1349,5358,3061,1894,774,2605,2272,1222,581,2286,1852,1202,484,2127,1990,1296,654,1134,1089,792,409,929,704,493,307,916,862,564,283,926,868,549,275,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,0,--,0,--,0,--,
净利润(万元),-646,-4281,224,2046,491,2104,3997,3100,1438,11067,8548,5247,2713,23886,19890,13396,5385,22427,16674,10898,4874,17547,13442,7389,2981,12523,8233,5485,2135,13306,10014,6268,3048,11256,7939,5169,2458,6874,4347,2314,2110,11217,9003,6791,3477,13975,11454,7342,3496,
归属于母公司所有者的净利润(万元),-1253,-5590,-1117,1107,8,192,2443,2010,931,9164,7080,4263,2260,21854,17940,11973,4768,20756,15096,9769,4281,16218,12471,6860,2768,12927,8721,5827,2312,14223,10523,6687,3261,11818,8334,5391,2558,6874,4347,2314,2110,11217,9003,6791,3477,13926,11413,7320,3487,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1290,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),607,1309,1341,939,483,1913,1554,1089,507,1903,1469,984,453,2031,1950,1424,617,1671,1577,1129,593,1329,971,529,212,-404,-489,-342,-177,-917,-509,-419,-213,-562,-395,-222,-100,--,--,--,--,0,--,0,0,49,41,22,9,
基本每股收益,-0.05,-0.24,-0.05,0.05,0,0.01,0.11,0.09,0.04,0.4,0.31,0.18,0.1,0.95,0.78,0.52,0.21,0.9,0.65,0.42,0.19,0.7,0.54,0.3,0.12,0.56,0.38,0.25,0.1,0.62,0.46,0.29,0.14,0.51,0.36,0.23,0.11,0.3,0.19,0.1,0.09,0.49,0.39,0.29,0.15,0.6,0.5,0.32,0.15,
稀释每股收益,-0.05,--,-0.05,0.05,0,0.01,--,0.09,0.04,0.4,--,--,--,--,0.78,0.52,0.21,--,0.65,0.42,0.19,0.7,0.54,0.3,0.12,0.56,0.38,0.25,0.1,0.62,0.46,0.29,0.14,0.51,0.36,0.23,0.11,0.3,0.19,0.1,0.09,0.49,0.39,0.29,0.15,0.6,0.5,0.32,0.15,
