报告日期,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
营业税金及附加(万元),19992,7074,32163,21563,13594,4333,35189,28168,16711,6219,8579,5325,3430,1470,6057,3693,2510,1183,4157,2864,1674,541,2615,2187,1337,496,820,98,66,27,
销售费用(万元),445658,214092,673639,503787,332900,141610,859088,759660,555749,250941,694343,522024,354528,148914,573073,438680,294328,103912,461387,367246,270139,123184,326584,261370,176332,66522,206775,169667,112875,54132,
管理费用(万元),204267,102189,361939,228495,154158,88514,319110,218857,146749,88146,266313,157192,96237,42473,166016,103868,74423,34752,172542,115462,70939,35295,104892,71002,44831,21554,69800,52932,37076,15838,
财务费用(万元),36430,11179,32274,24143,20075,-1703,105148,75143,43929,18451,46406,27876,17263,2855,22245,18769,11816,6205,48141,34562,24591,11150,25255,16423,10712,2504,13914,12730,7908,1879,
资产减值损失(万元),15197,20509,5829,14525,26056,7052,4239,20043,33729,17986,-1605,10511,19247,12579,16863,4970,14287,5266,10933,4371,13040,12061,2446,7782,14968,11165,829,3667,5416,7465,
公允价值变动收益(万元),22542,5948,-7582,-16984,-12592,-2683,3874,7214,-254,5681,11807,5774,4054,-998,2713,1409,1209,82,-2213,--,0,-1198,5349,4472,373,53,0,0,--,0,
投资收益(万元),21239,6887,34810,28649,18990,9326,72231,37301,20992,8297,13431,8604,5516,667,3212,4171,2112,1072,3913,2308,1521,32,18010,17596,8831,3742,1679,295,1366,347,
对联营企业和合营企业的投资收益(万元),4328,1921,7226,5586,4244,1228,5122,9357,2700,2196,5122,4163,2700,41,946,1546,563,397,4613,3231,2482,32,17857,17670,8904,3742,1679,934,1792,561,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
营业利润(万元),362380,152735,474372,403716,285736,129300,502260,398644,277407,81585,255672,210700,191990,29994,251975,228572,168114,29640,172731,197762,154415,47864,181575,160664,114357,32518,84293,64691,49386,11571,
营业外收入(万元),12559,5491,43032,35806,11876,4286,67634,57032,39168,31952,257030,205064,68588,65454,39642,6716,5524,3296,11970,6464,2485,626,10354,4108,2220,555,2274,2234,1575,1146,
营业外支出(万元),7162,1816,9770,6159,4313,1322,13842,7110,2893,902,16384,10049,4916,2009,16334,7621,5092,1363,9144,6815,4759,2015,4954,1957,966,482,3357,962,593,604,
非流动资产处置损失(万元),1870,482,2342,3390,2272,340,4641,1710,991,537,4276,2344,1891,537,13394,5985,2491,1014,2915,2288,804,0,2785,390,225,91,1526,32,22,1,
利润总额(万元),367778,156409,507635,433364,293299,132264,556052,448567,313682,112634,496317,405714,255662,93439,275283,227666,168545,31574,175557,197411,152141,46475,186975,162816,115612,32591,83210,65962,50369,12113,
所得税费用(万元),60912,24879,94750,81395,53056,22890,101956,89648,64655,18473,91993,68322,35176,13353,23896,29506,21549,3566,20447,21641,13833,5404,19538,23398,13094,2747,2802,775,538,984,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,0,--,0,--,0,--,0,
净利润(万元),306866,131530,412885,351969,240243,109374,454096,358919,249027,94162,404324,337393,220485,80086,251387,198161,146996,28008,155110,175770,138308,41071,167437,139418,102518,29844,80407,65187,49831,11129,
归属于母公司所有者的净利润(万元),260431,107755,347733,300042,208860,87081,369880,287995,197532,71150,312710,271906,178853,63162,189190,155114,114602,18749,103302,123530,99059,27669,119347,99600,71048,19503,53615,41647,33218,7035,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,-311,-311,--,--,--,0,--,--,--,0,
少数股东损益(万元),46435,23775,65151,51926,31383,22293,84216,70923,51494,23012,91614,65487,41633,16924,62196,43047,32394,9259,51808,52240,39561,13713,48090,39818,31470,10341,26793,23541,16613,4078,
基本每股收益,0.77,0.32,1.03,0.89,0.62,0.26,1.11,0.87,0.6,0.22,1,0.87,0.57,0.3,0.97,0.75,0.61,0.1,0.55,0.65,0.52,0.22,0.95,0.79,0.56,0.31,0.85,0.66,0.53,0.11,
稀释每股收益,0.77,0.32,1.03,0.89,0.62,0.26,1.11,0.87,0.6,0.22,1,0.87,0.57,0.3,0.97,0.75,0.61,0.1,0.55,0.65,0.52,0.22,0.95,0.79,0.56,0.31,0.85,0.66,0.53,0.11,
