报告日期,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2009-09-30,2009-06-30,2009-03-31,
资产减值损失(万元),--,145,--,--,53,--,--,43,-29,--,--,--,--,--,--,--,4,--,--,--,23,--,--,--,
公允价值变动收益(万元),-0,-2,-0,--,-1,--,--,-0,13,5,12,6,9,4,-1,-1,0,0,-1,-1,1,15,8,--,
投资收益(万元),--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-8,-229,-25,-13,-190,-91,-46,-676,-146,-123,-85,-10,-1287,-129,-94,-41,-851,-725,-534,-219,-1158,-1607,-1072,-524,
营业外收入(万元),--,--,--,--,--,--,--,1,227,--,--,--,0,0,0,0,--,--,--,--,--,--,--,--,
营业外支出(万元),--,--,--,--,--,--,--,435,305,228,151,--,305,228,151,75,305,228,151,75,306,228,151,75,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),-8,-229,-25,-13,-190,-91,-46,-1110,-223,-351,-236,-10,-1592,-357,-245,-115,-1156,-953,-685,-294,-1464,-1836,-1223,-599,
所得税费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-8,-229,-25,-13,-190,-91,-46,-1110,-223,-351,-236,-10,-1592,-357,-245,-115,-1156,-953,-685,-294,-1464,-1836,-1223,-599,
归属于母公司所有者的净利润(万元),-8,-226,-25,-13,-186,-89,-45,-1105,-219,-348,-233,-10,-1587,-353,-243,-114,-1146,-947,-680,-290,-1405,-1835,-1223,-599,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,-3,--,--,-4,-2,-1,-5,-5,-3,-3,-0,-5,-4,-2,-1,-9,-6,-5,-3,-60,-0,-0,--,
基本每股收益,-0,-0.01,-0,-0,-0.01,-0,-0,-0.03,-0.01,-0.01,-0.01,-0,-0.05,-0.01,-0.01,-0,-0.03,-0.03,-0.02,-0.01,-0.04,-0.05,-0.04,-0.02,
稀释每股收益,-0,-0.01,-0,-0,-0.01,-0,-0,-0.03,-0.01,--,-0.01,--,-0.05,--,--,--,-0.03,--,--,--,-0.04,--,-0.04,--,
